prompt,balanced_mae,mae_bin_0-20,n_bin_0-20,mae_bin_0-20_ci_lo,mae_bin_0-20_ci_hi,mae_bin_20-40,n_bin_20-40,mae_bin_20-40_ci_lo,mae_bin_20-40_ci_hi,mae_bin_40-60,n_bin_40-60,mae_bin_40-60_ci_lo,mae_bin_40-60_ci_hi,mae_bin_60-80,n_bin_60-80,mae_bin_60-80_ci_lo,mae_bin_60-80_ci_hi,mae_bin_80-100,n_bin_80-100,mae_bin_80-100_ci_lo,mae_bin_80-100_ci_hi,overall_mae,rmse,mean_bias,median_bias,p_within_5,p_within_10,exact_zero_rate,spearman_rho,spearman_p,n_images,n_prediction_rows,overall_mae_ci_lo,overall_mae_ci_hi,overall_mae_ci_method,balanced_mae_ci_lo,balanced_mae_ci_hi,balanced_mae_ci_method,balanced_mae_ci_lo_stratified,balanced_mae_ci_hi_stratified,balanced_mae_ci_method_stratified,balanced_mae_ci_empty_bin_violations_stratified,mean_bias_bin_0-20,mean_bias_bin_0-20_ci_lo,mean_bias_bin_0-20_ci_hi,mean_bias_bin_0-20_ci_method,mean_bias_bin_20-40,mean_bias_bin_20-40_ci_lo,mean_bias_bin_20-40_ci_hi,mean_bias_bin_20-40_ci_method,mean_bias_bin_40-60,mean_bias_bin_40-60_ci_lo,mean_bias_bin_40-60_ci_hi,mean_bias_bin_40-60_ci_method,mean_bias_bin_60-80,mean_bias_bin_60-80_ci_lo,mean_bias_bin_60-80_ci_hi,mean_bias_bin_60-80_ci_method,mean_bias_bin_80-100,mean_bias_bin_80-100_ci_lo,mean_bias_bin_80-100_ci_hi,mean_bias_bin_80-100_ci_method
Detailed,22.768026676193877,5.938281529117543,933,5.709711021698513,6.189434122463324,11.685185185185185,108,10.835955640033186,12.644322545689233,23.166666666666668,46,20.71953980261696,25.576086956521735,29.666666666666664,38,25.214912280701757,34.456140350877185,43.38333333333333,30,36.46666666666667,49.19999999999998,8.915079365079364,14.97170045700603,0.10323232323232309,3.3333333333333335,0.5936507936507937,0.7023088023088023,0.19942279942279942,0.581784338318776,0.0,1155,6930,8.402485197353913,9.512808723403538,BCa,21.038558042367953,24.296435474613716,BCa,21.073904289599067,24.381732768865714,BCa,0,4.466666666666666,4.197416484853707,4.754578561342491,BCa,-7.015432098765432,-8.494408176792598,-5.36574074074074,BCa,-20.630434782608692,-23.49073703840928,-17.27244851278471,BCa,-27.614035087719298,-33.03567759824571,-22.191967732918044,BCa,-43.07222222222222,-49.05601334913986,-36.03280042244596,BCa
Grid-Overlay,13.456153540497507,7.328563772775992,933,6.936723712100761,7.769376578551964,9.852623456790123,108,8.903918453028206,10.982934256311063,12.931159420289855,46,11.67805088982077,14.278985507246373,16.285087719298247,38,13.30701754385965,19.50116007687642,20.883333333333333,30,18.119961980359438,24.0,8.434458874458874,12.536821006634057,4.62015873015873,4.333333333333333,0.5676767676767677,0.6893217893217893,0.12106782106782107,0.7232989376434181,0.0,1155,6930,8.038933406596938,8.857012290481586,BCa,12.550407220978286,14.420965294581697,BCa,12.59804110735796,14.426646145604074,BCa,0,6.696177206145051,6.269279441811785,7.1456099367658075,BCa,4.255401234567901,2.5467078898604596,6.028999865100634,BCa,-5.199275362318841,-8.155797101449275,-2.079710144927536,BCa,-13.399122807017543,-17.449213752798684,-9.07456140350877,BCa,-20.749999999999996,-24.055555555555554,-18.08888888888889,BCa
Point-Hint,13.57853624478322,6.136977491961415,933,5.748156197608926,6.570223767466424,10.616172839506172,108,9.60493827160494,11.828301926422489,13.043478260869565,46,11.8768115942029,14.48570418022958,16.79605263157895,38,14.00891409456636,20.094399399845447,21.3,30,18.172222222222224,25.326731592703357,7.575408369408369,11.921148543550768,3.4665194805194806,2.8333333333333335,0.6196248196248196,0.7473304473304473,0.15252525252525254,0.7443504904805073,0.0,1155,6930,7.1701407989071315,8.045090640781233,BCa,12.653993015123696,14.68151732956598,BCa,12.60744569183118,14.599939969292915,BCa,0,5.311754197927831,4.899306199482009,5.761911021838364,BCa,3.6408641975308647,1.7337962962962963,5.651943969797974,BCa,-5.188405797101449,-8.108695652173912,-2.1234670661294883,BCa,-12.396929824561404,-16.769645532307727,-8.087719298245613,BCa,-21.18333333333333,-25.169444444444448,-17.90994320908013,BCa
Short,13.41137700462744,5.844283672740264,933,5.488472218832956,6.274443477254833,9.858024691358025,108,8.918209876543209,10.975961582917835,14.978260869565217,46,13.758492404003707,16.31627856689041,18.192982456140353,38,15.60526315789474,21.183114641033104,18.183333333333334,30,15.050276234867802,22.295468841227205,7.310144300144301,11.541160326149258,3.316984126984127,2.8333333333333335,0.63997113997114,0.7795093795093795,0.15411255411255412,0.7588597877840432,0.0,1155,6930,6.920689887292557,7.7354693261224,BCa,12.466224847662202,14.46921868989677,BCa,12.515355909958313,14.452521564606185,BCa,0,5.135351911396927,4.747854606406669,5.583114174748557,BCa,2.6697530864197527,0.8818446490961305,4.46521709990576,BCa,-6.4275362318840585,-9.635011495017109,-2.789557137776544,BCa,-11.192982456140351,-16.07894736842105,-6.508115895293245,BCa,-17.58333333333333,-21.830834543966432,-14.234568114824658,BCa
