question_id,configuration,selection_metric,combination,model_level,prompt_level,n_members,is_own_arm,overall_mae,balanced_mae,mean_bias,mae_bin_0-20,n_bin_0-20,mae_bin_0-20_repeat_median,mae_bin_0-20_repeat_min,mae_bin_0-20_repeat_max,mae_bin_20-40,n_bin_20-40,mae_bin_20-40_repeat_median,mae_bin_20-40_repeat_min,mae_bin_20-40_repeat_max,mae_bin_40-60,n_bin_40-60,mae_bin_40-60_repeat_median,mae_bin_40-60_repeat_min,mae_bin_40-60_repeat_max,mae_bin_60-80,n_bin_60-80,mae_bin_60-80_repeat_median,mae_bin_60-80_repeat_min,mae_bin_60-80_repeat_max,mae_bin_80-100,n_bin_80-100,mae_bin_80-100_repeat_median,mae_bin_80-100_repeat_min,mae_bin_80-100_repeat_max,repeat_median_balanced_mae,repeat_min_balanced_mae,repeat_max_balanced_mae,repeat_median_overall_mae,repeat_min_overall_mae,repeat_max_overall_mae,balanced_mae_median_rank,balanced_mae_best_rank,balanced_mae_worst_rank,balanced_mae_share_ranked_first,overall_mae_median_rank,overall_mae_best_rank,overall_mae_worst_rank,overall_mae_share_ranked_first,balanced_mae_interval_uncorrected,no_bootstrap,no_pairwise_test,is_ensemble,overall_mae_offarm,balanced_mae_offarm,c1_serving_confounded,c1_serving_confounded_always,c1_serving_confounded_share_of_folds
Q2,Llama-4-Maverick x top2P,MAE_b,mean,Llama-4-Maverick,top2P,2,False,5.876413852813853,10.794282460800398,2.68404329004329,4.558818863879952,933,4.551822079314036,4.5124866023579795,4.648070739549835,9.823333333333334,108,9.69212962962963,9.530092592592593,10.36111111111111,11.654347826086955,46,11.521739130434783,11.141304347826088,12.293478260869565,12.35157894736842,38,12.217105263157894,11.81578947368421,13.105263157894736,15.583333333333332,30,15.483333333333333,15.066666666666666,16.45,10.779400521435,10.678779844414304,11.121953558111224,5.878484848484848,5.813333333333333,6.015844155844155,1.0,1.0,2.0,0.54,,,,,False,True,True,True,5.876413852813853,,False,False,0.0
Q2,Llama-4-Maverick x top3P,MAE_b,mean,Llama-4-Maverick,top3P,3,False,5.955396825396825,10.795470605489388,2.7936075036075043,4.67897463379778,933,4.678974633797779,4.678974633797779,4.678974633797779,9.604938271604935,108,9.604938271604935,9.604938271604935,9.604938271604935,11.514492753623182,46,11.514492753623186,11.514492753623186,11.514492753623186,12.578947368421051,38,12.578947368421053,12.578947368421053,12.578947368421053,15.599999999999998,30,15.599999999999998,15.599999999999998,15.599999999999998,10.79547060548939,10.79547060548939,10.79547060548939,5.955396825396826,5.955396825396826,5.955396825396826,2.0,1.0,2.0,0.46,,,,,False,True,True,True,5.955396825396825,,False,False,0.0
Q2,all6M@own,MAE_b,mean,all6M,@own,6,True,7.2466721500721505,11.546707612685761,4.433666666666666,6.287538049303318,933,6.3016702393712,6.027098963915674,6.450553769203282,8.558734567901233,108,8.564429012345677,8.2554012345679,8.891975308641975,11.196739130434786,46,11.15217391304348,10.82608695652174,11.673913043478262,14.190526315789475,38,14.175438596491226,13.811403508771928,14.688596491228072,17.499999999999996,30,17.47222222222222,16.916666666666664,18.194444444444446,11.53603029638459,11.407494886890245,11.773685931701483,7.255303030303031,7.04050505050505,7.381414141414141,5.0,5.0,7.0,0.0,,,,,False,True,True,True,7.2466721500721505,,True,True,1.0
Q2,all6M x Short,MAE_b,mean,all6M,Short,6,False,6.522265512265513,11.630065561353815,3.3169841269841265,5.385905680600205,933,5.385905680600205,5.385905680600205,5.385905680600205,7.827160493827158,108,7.82716049382716,7.82716049382716,7.82716049382716,11.985507246376807,46,11.98550724637681,11.98550724637681,11.98550724637681,15.368421052631577,38,15.368421052631579,15.368421052631579,15.368421052631579,17.58333333333333,30,17.58333333333333,17.58333333333333,17.58333333333333,11.630065561353817,11.630065561353817,11.630065561353817,6.522265512265513,6.522265512265513,6.522265512265513,6.0,5.0,7.0,0.0,,,,,False,True,True,True,6.522265512265513,,True,True,1.0
Q2,Qwen-2.5 x top2P,MAE_b,mean,Qwen-2.5,top2P,2,False,6.922435497835498,11.785307836404469,3.3087229437229437,5.783229367631292,933,5.768033226152193,5.559163987138261,5.901875669882096,8.653611111111111,108,8.68287037037037,8.152777777777779,8.833333333333334,11.944347826086958,46,11.91304347826087,11.26086956521739,12.347826086956522,17.408684210526317,38,17.407894736842106,16.94736842105263,18.473684210526315,15.136666666666665,30,15.083333333333334,14.666666666666666,16.083333333333332,11.778930738040092,11.645050106431711,12.030647940353546,6.920519480519481,6.749523809523811,7.002987012987013,8.0,6.0,15.0,0.0,,,,,False,True,True,True,6.922435497835498,,False,False,0.0
Q2,all6M x top3P,MAE_b,mean,all6M,top3P,18,False,6.934063492063493,11.798574435068932,3.80122077922078,5.909366440395376,933,5.909366440395376,5.909366440395376,5.909366440395376,7.90317901234568,108,7.90317901234568,7.90317901234568,7.90317901234568,10.46497584541063,46,10.464975845410628,10.464975845410628,10.464975845410628,14.876461988304088,38,14.87646198830409,14.87646198830409,14.87646198830409,19.838888888888885,30,19.838888888888885,19.838888888888885,19.838888888888885,11.798574435068932,11.798574435068932,11.798574435068932,6.934063492063492,6.934063492063492,6.934063492063492,9.0,8.0,11.0,0.0,,,,,False,True,True,True,6.934063492063493,,True,True,1.0
Q2,all6M x top2P,MAE_b,mean,all6M,top2P,12,False,7.024889062049061,11.831063247955868,3.8983571717171714,6.022868167202566,933,5.988710253662013,5.848481600571619,6.123740621650582,7.767207098765434,108,7.767746913580249,7.635802469135805,8.036095679012348,10.856195652173913,46,10.885869565217392,10.518115942028986,11.134057971014494,15.112017543859647,38,15.064144736842106,14.836622807017543,15.532894736842103,19.39702777777778,30,19.28263888888889,19.16666666666667,20.018055555555556,11.82439518474734,11.771339354857492,11.993258875872545,7.024595238095238,6.899321789321789,7.111226551226552,10.0,9.0,13.0,0.0,,,,,False,True,True,True,7.024889062049061,,True,True,1.0
Q2,all6M x Point-Hint,MAE_b,mean,all6M,Point-Hint,6,False,6.733561327561329,11.987899498540528,3.4665194805194806,5.576062879599845,933,5.576062879599846,5.576062879599846,5.576062879599846,8.545185185185186,108,8.545185185185186,8.545185185185186,8.545185185185186,10.03623188405797,46,10.03623188405797,10.03623188405797,10.03623188405797,14.598684210526319,38,14.598684210526319,14.598684210526319,14.598684210526319,21.183333333333326,30,21.183333333333326,21.183333333333326,21.183333333333326,11.987899498540528,11.987899498540528,11.987899498540528,6.733561327561328,6.733561327561328,6.733561327561328,12.0,11.0,15.0,0.0,,,,,False,True,True,True,6.733561327561329,,True,True,1.0
Q2,top3M@own,MAE_b,mean,top3M,@own,3,True,7.159519769119769,11.991249358398402,3.955281385281385,6.112435155412643,933,6.074705251875665,5.6134512325830626,6.640353697749184,8.307314814814815,108,8.310185185185185,7.407407407407407,9.132716049382717,11.242028985507247,46,11.242753623188406,9.949275362318843,12.23913043478261,15.398245614035089,38,15.381578947368421,13.780701754385968,16.54385964912281,18.89622222222222,30,18.916666666666668,16.944444444444446,20.333333333333325,11.99994231644606,11.373052766565953,12.38237762578568,7.138152958152958,6.7319047619047625,7.623477633477633,13.0,4.0,20.0,0.0,,,,,False,True,True,True,7.159519769119769,,True,False,0.408
Q2,Qwen-2.5 x top3P,MAE_b,mean,Qwen-2.5,top3P,3,False,6.665959595959595,12.083017947003881,2.808470418470419,5.442140050017864,933,5.442140050017864,5.442140050017864,5.442140050017864,8.135802469135804,108,8.135802469135806,8.135802469135806,8.135802469135806,11.89855072463768,46,11.898550724637682,11.898550724637682,11.898550724637682,18.438596491228065,38,18.438596491228065,18.438596491228065,18.438596491228065,16.500000000000004,30,16.500000000000004,16.500000000000004,16.500000000000004,12.083017947003885,12.083017947003885,12.083017947003885,6.665959595959596,6.665959595959596,6.665959595959596,16.0,14.0,21.0,0.0,,,,,False,True,True,True,6.665959595959595,,False,False,0.0
