question_id,contrast,model,variant,n_pairs,estimate,ci_lo,ci_hi,ci_method,p_primary_raw,p_wilcoxon_raw,hl_median_ae_diff_descriptive,p_sign_test_raw,sign_test_n_used,sign_test_n_pos,delta_overall_mae,delta_overall_mae_ci_lo,delta_overall_mae_ci_hi,bias_model,bias_baseline,delta_abs_bias,bias_direction_opposed,per_bin_mae,claim_bearing,holm_family,holm_adjusted,note
Q9,Gemma-3-12B_vs_classical_baseline,Gemma-3-12B,rectified,1155,-27.476652406711786,-29.28539967186433,-25.5856609153054,BCa,9.999000099990002e-05,0.0004553586856603266,1.2909880298273158,8.197505076149407e-21,1155,736,-1.8852180149128728,-2.9061251616428025,-0.9735971076377201,4.64465367965368,-10.004567508956246,-5.359913829302566,True,"{'0-20': {'n': 933, 'mae_mllm': 7.753188638799572, 'mae_baseline': 3.4105974049992147}, '20-40': {'n': 108, 'mae_mllm': 10.74074074074074, 'mae_baseline': 25.791040040482002}, '40-60': {'n': 46, 'mae_mllm': 15.5, 'mae_baseline': 45.71931338862404}, '60-80': {'n': 38, 'mae_mllm': 17.907894736842106, 'mae_baseline': 57.88995357953209}, '80-100': {'n': 30, 'mae_mllm': 21.733333333333334, 'mae_baseline': 78.20751506963732}}",False,,False,"supplementary, non-claim-bearing: MLLM side scored on the rectified variant, the baseline's own necessary pre-processing product, for apples-to-apples geometry; raw p-values only, no Holm column, not a second family H. The base comparison remains primary and is the only claim-bearing result. A difference between this run and the primary base run is the Q4 variant effect entering the Q9 comparison (Q4: -1.69 cover points overall; the warp step's contribution is -0.0436 [-0.4653, +0.3604] and is not distinguishable from zero)."
Q9,Gemma-3-27B_vs_classical_baseline,Gemma-3-27B,rectified,1155,-28.572780852661616,-30.133530449374412,-26.825449356389676,BCa,9.999000099990002e-05,6.252961623019431e-16,4.168395177967637,5.528435480065401e-49,1155,824,0.38597246127760343,-0.7617488015613316,1.4030356437874891,8.185670995670996,-10.004567508956246,-1.8188965132852495,True,"{'0-20': {'n': 933, 'mae_mllm': 10.99780278670954, 'mae_baseline': 3.4105974049992147}, '20-40': {'n': 108, 'mae_mllm': 9.833333333333334, 'mae_baseline': 25.791040040482002}, '40-60': {'n': 46, 'mae_mllm': 13.934782608695652, 'mae_baseline': 45.71931338862404}, '60-80': {'n': 38, 'mae_mllm': 12.105263157894736, 'mae_baseline': 57.88995357953209}, '80-100': {'n': 30, 'mae_mllm': 21.283333333333335, 'mae_baseline': 78.20751506963732}}",False,,False,"supplementary, non-claim-bearing: MLLM side scored on the rectified variant, the baseline's own necessary pre-processing product, for apples-to-apples geometry; raw p-values only, no Holm column, not a second family H. The base comparison remains primary and is the only claim-bearing result. A difference between this run and the primary base run is the Q4 variant effect entering the Q9 comparison (Q4: -1.69 cover points overall; the warp step's contribution is -0.0436 [-0.4653, +0.3604] and is not distinguishable from zero)."
Q9,Llama-4-Maverick_vs_classical_baseline,Llama-4-Maverick,rectified,1155,-27.504610752206215,-28.977807133924053,-25.92434695626792,BCa,9.999000099990002e-05,4.086522214898988e-12,-1.0095067964315905,1.2225422488564283e-09,1155,474,-4.111029703224561,-5.027907936131023,-3.2384444720278913,1.550465367965368,-10.004567508956246,-8.454102140990878,True,"{'0-20': {'n': 933, 'mae_mllm': 4.661548767416935, 'mae_baseline': 3.4105974049992147}, '20-40': {'n': 108, 'mae_mllm': 13.247685185185185, 'mae_baseline': 25.791040040482002}, '40-60': {'n': 46, 'mae_mllm': 17.262228260869566, 'mae_baseline': 45.71931338862404}, '60-80': {'n': 38, 'mae_mllm': 18.082236842105264, 'mae_baseline': 57.88995357953209}, '80-100': {'n': 30, 'mae_mllm': 20.241666666666667, 'mae_baseline': 78.20751506963732}}",False,,False,"supplementary, non-claim-bearing: MLLM side scored on the rectified variant, the baseline's own necessary pre-processing product, for apples-to-apples geometry; raw p-values only, no Holm column, not a second family H. The base comparison remains primary and is the only claim-bearing result. A difference between this run and the primary base run is the Q4 variant effect entering the Q9 comparison (Q4: -1.69 cover points overall; the warp step's contribution is -0.0436 [-0.4653, +0.3604] and is not distinguishable from zero)."
Q9,Llama-4-Scout_vs_classical_baseline,Llama-4-Scout,rectified,1155,-25.499104166445907,-27.11987135325498,-23.696364154166712,BCa,9.999000099990002e-05,2.6400314749700428e-15,-1.2551154374471682,5.218625204367631e-09,1155,478,-4.194737495432353,-5.028430545311452,-3.4190363706782247,0.5264891774891776,-10.004567508956246,-9.478078331467069,True,"{'0-20': {'n': 933, 'mae_mllm': 4.01306270096463, 'mae_baseline': 3.4105974049992147}, '20-40': {'n': 108, 'mae_mllm': 15.031828703703704, 'mae_baseline': 25.791040040482002}, '40-60': {'n': 46, 'mae_mllm': 19.50092391304348, 'mae_baseline': 45.71931338862404}, '60-80': {'n': 38, 'mae_mllm': 19.71875, 'mae_baseline': 57.88995357953209}, '80-100': {'n': 30, 'mae_mllm': 25.258333333333333, 'mae_baseline': 78.20751506963732}}",False,,False,"supplementary, non-claim-bearing: MLLM side scored on the rectified variant, the baseline's own necessary pre-processing product, for apples-to-apples geometry; raw p-values only, no Holm column, not a second family H. The base comparison remains primary and is the only claim-bearing result. A difference between this run and the primary base run is the Q4 variant effect entering the Q9 comparison (Q4: -1.69 cover points overall; the warp step's contribution is -0.0436 [-0.4653, +0.3604] and is not distinguishable from zero)."
Q9,Mistral-Small-3.2_vs_classical_baseline,Mistral-Small-3.2,rectified,1155,-29.588793610160003,-31.339669291227676,-27.71576144352809,BCa,9.999000099990002e-05,0.3872565570160904,0.24917827708006268,0.0006357773736887784,1155,636,-2.4724907421856006,-3.54503475738785,-1.4689773146652931,4.466450216450217,-10.004567508956246,-5.538117292506029,True,"{'0-20': {'n': 933, 'mae_mllm': 7.49965166130761, 'mae_baseline': 3.4105974049992147}, '20-40': {'n': 108, 'mae_mllm': 9.354166666666666, 'mae_baseline': 25.791040040482002}, '40-60': {'n': 46, 'mae_mllm': 15.847826086956522, 'mae_baseline': 45.71931338862404}, '60-80': {'n': 38, 'mae_mllm': 14.164473684210526, 'mae_baseline': 57.88995357953209}, '80-100': {'n': 30, 'mae_mllm': 16.208333333333332, 'mae_baseline': 78.20751506963732}}",False,,False,"supplementary, non-claim-bearing: MLLM side scored on the rectified variant, the baseline's own necessary pre-processing product, for apples-to-apples geometry; raw p-values only, no Holm column, not a second family H. The base comparison remains primary and is the only claim-bearing result. A difference between this run and the primary base run is the Q4 variant effect entering the Q9 comparison (Q4: -1.69 cover points overall; the warp step's contribution is -0.0436 [-0.4653, +0.3604] and is not distinguishable from zero)."
Q9,Qwen-2.5_vs_classical_baseline,Qwen-2.5,rectified,1155,-29.876550025290285,-31.897765626320144,-27.62950453453932,BCa,9.999000099990002e-05,0.03757450089269048,-0.4554661084108201,0.11203837989047849,1155,605,-3.9008240755189325,-4.93108823551546,-2.942226034243504,3.000281385281385,-10.004567508956246,-7.004286123674861,True,"{'0-20': {'n': 933, 'mae_mllm': 5.8600750267952835, 'mae_baseline': 3.4105974049992147}, '20-40': {'n': 108, 'mae_mllm': 7.840277777777778, 'mae_baseline': 25.791040040482002}, '40-60': {'n': 46, 'mae_mllm': 13.548913043478262, 'mae_baseline': 45.71931338862404}, '60-80': {'n': 38, 'mae_mllm': 17.769736842105264, 'mae_baseline': 57.88995357953209}, '80-100': {'n': 30, 'mae_mllm': 16.616666666666667, 'mae_baseline': 78.20751506963732}}",False,,False,"supplementary, non-claim-bearing: MLLM side scored on the rectified variant, the baseline's own necessary pre-processing product, for apples-to-apples geometry; raw p-values only, no Holm column, not a second family H. The base comparison remains primary and is the only claim-bearing result. A difference between this run and the primary base run is the Q4 variant effect entering the Q9 comparison (Q4: -1.69 cover points overall; the warp step's contribution is -0.0436 [-0.4653, +0.3604] and is not distinguishable from zero)."
