question_id,model,prompt,overall_mae_local,overall_mae_local_ci_lo,overall_mae_local_ci_hi,overall_mae_api,overall_mae_api_ci_lo,overall_mae_api_ci_hi,overall_mae_diff_local_minus_api,overall_mae_diff_ci_lo,overall_mae_diff_ci_hi,overall_mae_diff_ci_method,balanced_mae_local,balanced_mae_local_ci_lo,balanced_mae_local_ci_hi,balanced_mae_api,balanced_mae_api_ci_lo,balanced_mae_api_ci_hi,balanced_mae_diff_local_minus_api,balanced_mae_diff_ci_lo,balanced_mae_diff_ci_hi,balanced_mae_diff_ci_method,balanced_mae_interval_uncorrected,floor_not_estimable_for_balanced_mae,maverick_floor_delta,caveat,tier,corrected,claim_wording,rank_local,rank_api,rank_change_local_minus_api
Q7,Llama-4-Maverick,Short,6.116320346320347,5.631244555923945,6.665956538262004,6.66991341991342,6.0717423740024525,7.370345513922427,-0.5535930735930732,-1.1217715584226005,-0.040663654480743903,BCa,11.209051674497458,10.194403385727549,12.309220532612278,15.38326429919806,13.435656952997563,17.922075589959416,-4.174212624700605,-6.5942998294057045,-2.3093497243192775,BCa,True,True,0.65,Maverick's balanced-MAE effect sits above a reproducibility floor this data cannot quantify on the balanced-MAE scale; the nearest available bound is the overall-MAE run-to-run floor delta_Mav=0.650.,secondary,False,stack and possibly weights,1,10,-9
Q7,Llama-4-Maverick,Point-Hint,6.460476190476191,5.983395585266784,7.0152759070140975,6.507662337662338,5.9480519480519485,7.131020995586413,-0.047186147186146776,-0.5640248283404152,0.4753724300873143,BCa,11.375880070767348,10.333471973056188,12.561539114072541,13.168220689583753,11.45163605820836,15.41002006434352,-1.7923406188164055,-3.875592613113253,-0.12631327435915998,BCa,True,True,0.65,Maverick's balanced-MAE effect sits above a reproducibility floor this data cannot quantify on the balanced-MAE scale; the nearest available bound is the overall-MAE run-to-run floor delta_Mav=0.650.,secondary,False,stack and possibly weights,2,4,-2
Q7,Qwen-2.5,Grid-Overlay,7.396580086580086,6.913669307482939,7.933799185332158,6.379523809523809,5.920409192880848,6.905204426308257,1.0170562770562777,0.7604747608724445,1.2803957076267407,BCa,11.749014966389051,10.657884346792638,12.976308846500782,11.620306031711774,10.430839082930822,12.971816228911855,0.1287089346772774,-0.6369349519782306,0.7893006091939762,BCa,True,False,,,secondary,False,stack and possibly weights,3,1,2
Q7,Llama-4-Maverick,Grid-Overlay,6.0750216450216445,5.601310982112605,6.595274431184308,6.10064935064935,5.588586991428263,6.70222760086071,-0.025627705627705666,-0.4909687721992331,0.45824806658640815,BCa,11.815106900443086,10.657055180334794,13.132583829357712,13.55448388045311,11.85868655617992,15.69434127074759,-1.7393769800100234,-3.6836913090195873,0.11526844109244042,BCa,True,True,0.65,Maverick's balanced-MAE effect sits above a reproducibility floor this data cannot quantify on the balanced-MAE scale; the nearest available bound is the overall-MAE run-to-run floor delta_Mav=0.650.,secondary,False,stack and possibly weights,4,5,-1
Q7,Qwen-2.5,Short,6.9312121212121225,6.4537126964177824,7.453028955596445,5.7884415584415585,5.352871349760118,6.25991341991342,1.142770562770564,0.8779220779220784,1.4205406465941635,BCa,12.04652682703232,10.807805094734624,13.397466272141251,12.071854004740171,10.811207586285098,13.501406356868308,-0.025327177707849202,-0.8293376472296213,0.8789663998257239,BCa,True,False,,,secondary,False,stack and possibly weights,5,2,3
Q7,Llama-4-Scout,Short,6.305844155844156,5.804733560541045,6.862964296133021,7.502900432900431,7.001850280554011,8.085883182171699,-1.1970562770562756,-1.6814718614718611,-0.7318423463561421,BCa,12.679774494486834,11.267158565384989,14.66070118944652,14.361607316441063,12.697731293164493,16.52623634334863,-1.681832821954231,-3.5617331314847367,-0.03395289035617816,BCa,True,False,,,secondary,False,stack and possibly weights,6,7,-1
Q7,Qwen-2.5,Point-Hint,6.216666666666667,5.768644783351023,6.7169017235786646,6.168354978354977,5.716633778677236,6.6791423643426375,0.048311688311689416,-0.1505627705627701,0.24718614718614665,BCa,13.368864097971136,12.063646343646901,14.734762110335103,13.01305668718451,11.714488907825844,14.42493699957398,0.3558074107866247,-0.20731841193157596,0.9612774397089141,BCa,True,False,,,secondary,False,stack and possibly weights,7,3,4
Q7,Llama-4-Scout,Grid-Overlay,6.694415584415584,6.155789495635728,7.282616240442951,10.07978354978355,9.53181188189413,10.689310037093687,-3.3853679653679656,-3.9436675056140604,-2.808467593130765,BCa,13.40693654893093,12.085583773558305,15.032353012188238,14.093844693361936,12.684806010905465,15.769027672298863,-0.6869081444310083,-2.173051004507355,0.700211099693178,BCa,True,False,,,secondary,False,stack and possibly weights,8,6,2
Q7,Mistral-Small-3.2,Grid-Overlay,7.3235064935064935,6.883456453349812,7.828541801416963,5.990432900432901,5.515498647648156,6.514434171928368,1.3330735930735926,0.9821117254918598,1.6698701298701304,BCa,13.64709670474554,12.32498995508149,15.13855134184374,15.715592653363998,14.271112854203885,17.341505734742693,-2.068495948618459,-3.418361499456972,-0.7888998881138225,BCa,True,False,,,secondary,False,stack and possibly weights,9,14,-5
Q7,Gemma-3-12B,Short,9.437272727272727,8.922936094268556,10.010303030303028,9.018225108225108,8.48515123444008,9.587792207792209,0.41904761904761934,0.08693809086042767,0.7481468067549109,BCa,13.944539776519292,12.59989284937039,15.548047905581427,14.484327839652877,13.007901788675957,16.087049563383466,-0.539788063133587,-1.5582517184439653,0.47233008701628604,BCa,True,False,,,secondary,False,stack and possibly weights,10,8,2
Q7,Llama-4-Scout,Point-Hint,7.769549783549784,7.176516740107286,8.40412825521943,9.238337662337662,8.598366172146054,9.937316017316018,-1.4687878787878779,-2.0686737302545226,-0.8746983851964457,BCa,13.957161799095186,12.524489106226875,15.757371279379397,15.517145603379651,13.990673389467284,17.11209074832983,-1.5599838042844656,-3.4150090821520367,0.16370784204461267,BCa,True,False,,,secondary,False,stack and possibly weights,11,12,-1
Q7,Mistral-Small-3.2,Point-Hint,6.560389610389611,6.09831485007075,7.084434927137765,6.024112554112554,5.511515151515151,6.587854300923992,0.5362770562770569,0.1671121544444182,0.9128467599565808,BCa,14.048447263365555,12.670516557900221,15.514439665868899,18.68933902240884,17.26232624321148,20.195152214568335,-4.64089175904329,-5.780195130070451,-3.56175048260755,BCa,True,False,,,secondary,False,stack and possibly weights,12,18,-6
Q7,Gemma-3-12B,Point-Hint,8.751038961038962,8.214451845303559,9.325842059579557,8.444112554112555,7.9201077668696325,9.027384158327537,0.30692640692640616,-0.03636688622685031,0.663636363636364,BCa,14.264157003877107,12.928653719667269,15.874232888410162,15.433707409941821,13.897040278612709,16.988957512823088,-1.1695504060647117,-2.350080719016084,-0.04562607234866338,BCa,True,False,,,secondary,False,stack and possibly weights,13,11,2
