model,n_total_rows,n_unusable,share_unusable,outlier_rate_unusable,outlier_rate_usable,auc_bound_lowfill,auc_bound_highfill,auc_bound_min,auc_bound_max,auc_not_determined_by_data,fisher_p_detailed,fisher_p_short,fisher_p_grid_overlay,fisher_p_point_hint,fisher_or_detailed,fisher_or_short,fisher_or_grid_overlay,fisher_or_point_hint,fisher_note,complete_case_mean_auc,question_id,outlier_threshold,row_type,n_cot_resolved_rows,mean_auc_with_cot_resolved,mean_auc_without_cot_resolved,delta
Gemma-3-12B,4620.0,59.0,0.01277056277056277,0.0,0.11269458452093839,0.28935122254517476,0.30366511066873014,0.28935122254517476,0.30366511066873014,False,1.0,1.0,0.3919286428568921,0.011079945683243974,,,0.0,0.0,"Run per prompt (4 independent 1,155-image tables), never pooled across prompts within a model: model_frame carries up to 4 rows per image, so a single pooled 2x2 table would count each image up to 4 times and overstate the evidence.",0.2922134414068215,Q5,20.0,mnar_bounds,,,,
Gemma-3-27B,4620.0,0.0,0.0,,0.10432900432900433,0.5944795027703507,0.5944795027703507,0.5944795027703507,0.5944795027703507,False,1.0,1.0,1.0,1.0,,,,,"Run per prompt (4 independent 1,155-image tables), never pooled across prompts within a model: model_frame carries up to 4 rows per image, so a single pooled 2x2 table would count each image up to 4 times and overstate the evidence.",0.5944795027703507,Q5,20.0,mnar_bounds,,,,
Llama-4-Maverick,4620.0,1.0,0.00021645021645021645,0.0,0.07404200043299415,0.6890174949539496,0.6892470633653361,0.6890174949539496,0.6892470633653361,False,1.0,1.0,1.0,1.0,,,,0.0,"Run per prompt (4 independent 1,155-image tables), never pooled across prompts within a model: model_frame carries up to 4 rows per image, so a single pooled 2x2 table would count each image up to 4 times and overstate the evidence.",0.6891778152791224,Q5,20.0,mnar_bounds,,,,
Llama-4-Scout,4620.0,44.0,0.009523809523809525,0.4090909090909091,0.0902534965034965,0.590531684451413,0.6305428225640988,0.590531684451413,0.6305428225640988,False,0.0020544394866238926,1.0,1.0,6.094504981222634e-05,4.699763593380615,,,6.563706563706564,"Run per prompt (4 independent 1,155-image tables), never pooled across prompts within a model: model_frame carries up to 4 rows per image, so a single pooled 2x2 table would count each image up to 4 times and overstate the evidence.",0.6133865594497774,Q5,20.0,mnar_bounds,,,,
Mistral-Small-3.2,4620.0,5.0,0.0010822510822510823,0.0,0.06825568797399784,0.46631086093156093,0.4674769057076803,0.46631086093156093,0.4674769057076803,False,1.0,1.0,1.0,1.0,,,0.0,,"Run per prompt (4 independent 1,155-image tables), never pooled across prompts within a model: model_frame carries up to 4 rows per image, so a single pooled 2x2 table would count each image up to 4 times and overstate the evidence.",0.46697885379152915,Q5,20.0,mnar_bounds,,,,
Qwen-2.5,4620.0,0.0,0.0,,0.07835497835497836,0.615535531211866,0.615535531211866,0.615535531211866,0.615535531211866,False,1.0,1.0,1.0,1.0,,,,,"Run per prompt (4 independent 1,155-image tables), never pooled across prompts within a model: model_frame carries up to 4 rows per image, so a single pooled 2x2 table would count each image up to 4 times and overstate the evidence.",0.615535531211866,Q5,20.0,mnar_bounds,,,,
Llama-4-Scout,,,,,,,,,,,,,,,,,,,,,Q5,,scout_cot_resolved_sensitivity,5.0,0.6133865594497774,0.6131038640479136,0.00028269540186376396
