question_id,contrast,bin,n,mean_d,median_d,iqr_d,sd_d,spread_vs_location,location_mean_d_range_vs_bottom_bin,location_moves_vs_bottom_bin
Q4,masked_gray_minus_base,0-20,933,0.5360767238299392,0.39583333333333326,2.7708333333333335,2.781714862945071,spread not wider than bottom bin,5.706910057163272,False
Q4,masked_gray_minus_base,20-40,108,0.20764660493827164,-0.12499999999999911,4.859374999999999,4.3680615486734835,spread wider than bottom bin,5.706910057163272,False
Q4,masked_gray_minus_base,40-60,46,-0.4750905797101444,-1.28125,5.65625,4.653807140622269,spread wider than bottom bin,5.706910057163272,False
Q4,masked_gray_minus_base,60-80,38,-3.3108552631578956,-2.458333333333334,5.916666666666666,7.024533005453194,spread wider than bottom bin,5.706910057163272,True
Q4,masked_gray_minus_base,80-100,30,-5.1708333333333325,-4.333333333333334,9.067708333333332,6.731979368393452,spread wider than bottom bin,5.706910057163272,True
Q4,rectified_minus_base,0-20,933,0.48552831368345833,0.35416666666666696,2.6875000000000004,2.820813544859851,spread not wider than bottom bin,6.218892746913581,False
Q4,rectified_minus_base,20-40,108,0.5050038580246914,0.3125,4.338541666666666,4.0396870920865835,spread wider than bottom bin,6.218892746913581,False
Q4,rectified_minus_base,40-60,46,-0.09744565217391296,-0.5104166666666652,6.414062499999999,5.056497830844853,spread wider than bottom bin,6.218892746913581,False
Q4,rectified_minus_base,60-80,38,-3.6104714912280707,-1.885416666666666,6.679687499999999,7.110079480520801,spread wider than bottom bin,6.218892746913581,True
Q4,rectified_minus_base,80-100,30,-5.7138888888888895,-4.687499999999998,7.822916666666669,6.448938600086714,spread wider than bottom bin,6.218892746913581,True
