question_id,model,prompt,bin,n,mae_combo,mae_combo_ci_lo,mae_combo_ci_hi,mae_baseline,delta_vs_baseline,ahead_of_baseline,selection_conditioned,holm_family,p_value
Q9,Llama-4-Maverick,Detailed,0-20,933,3.212486602357985,2.935101822079314,3.5485723232825532,3.4105974049992147,-0.1981108026412297,True,False,,
Q9,Llama-4-Scout,Detailed,0-20,933,3.7618971061093243,3.451798522376043,4.114233938465335,3.4105974049992147,0.35129970111010955,False,False,,
Q9,Qwen-2.5,Detailed,0-20,933,4.237995712754555,3.876689123497975,4.644883336134265,3.4105974049992147,0.82739830775534,False,False,,
Q9,Llama-4-Scout,Short,0-20,933,4.584405144694534,4.164269017890722,5.078321313146511,3.4105974049992147,1.1738077396953193,False,False,,
Q9,Llama-4-Maverick,Short,0-20,933,4.586655948553055,4.107299534253171,5.144792967965668,3.4105974049992147,1.1760585435538404,False,False,,
Q9,Qwen-2.5,Point-Hint,0-20,933,4.659431939978564,4.274817234736962,5.111198776689587,3.4105974049992147,1.2488345349793493,False,False,,
Q9,Llama-4-Maverick,Grid-Overlay,0-20,933,4.736495176848874,4.295529291633774,5.280808750407547,3.4105974049992147,1.3258977718496592,False,False,,
Q9,Llama-4-Scout,Grid-Overlay,0-20,933,4.756752411575563,4.29909849644429,5.3465775523089185,3.4105974049992147,1.346155006576348,False,False,,
Q9,Mistral-Small-3.2,Point-Hint,0-20,933,4.917738478027867,4.509641373028052,5.3949397334246845,3.4105974049992147,1.5071410730286523,False,False,,
Q9,Llama-4-Maverick,Point-Hint,0-20,933,5.176152197213291,4.686857658644,5.758426497177109,3.4105974049992147,1.7655547922140764,False,False,,
Q9,Mistral-Small-3.2,Short,0-20,933,5.234351554126474,4.881006692132967,5.630867903137654,3.4105974049992147,1.823754149127259,False,False,,
Q9,Qwen-2.5,Short,0-20,933,5.712272240085744,5.2589160684688565,6.261354957993142,3.4105974049992147,2.301674835086529,False,False,,
Q9,Llama-4-Scout,Point-Hint,0-20,933,5.844105037513398,5.309564748250447,6.450209593710088,3.4105974049992147,2.433507632514183,False,False,,
Q9,Mistral-Small-3.2,Grid-Overlay,0-20,933,6.00069667738478,5.586564403165178,6.462057877813505,3.4105974049992147,2.590099272385565,False,False,,
Q9,Qwen-2.5,Grid-Overlay,0-20,933,6.346248660235799,5.834666212426077,6.908099275562704,3.4105974049992147,2.935651255236584,False,False,,
Q9,Gemma-3-27B,Short,0-20,933,6.7571811361200425,6.382463981229306,7.174227852843146,3.4105974049992147,3.3465837311208277,False,False,,
Q9,Gemma-3-12B,Point-Hint,0-20,933,7.2898713826366555,6.764541079510966,7.848771924149445,3.4105974049992147,3.8792739776374408,False,False,,
Q9,Gemma-3-12B,Detailed,0-20,933,7.539067524115755,7.121642109162798,8.000544807338946,3.4105974049992147,4.128470119116541,False,False,,
Q9,Mistral-Small-3.2,Detailed,0-20,933,7.848821007502679,7.4480307264917744,8.268006416347779,3.4105974049992147,4.438223602503465,False,False,,
Q9,Gemma-3-12B,Short,0-20,933,8.190836012861736,7.661775231052245,8.757826383110324,3.4105974049992147,4.780238607862521,False,False,,
Q9,Gemma-3-27B,Point-Hint,0-20,933,8.934565916398714,8.481238215750738,9.460487385579972,3.4105974049992147,5.5239685113995,False,False,,
Q9,Gemma-3-27B,Detailed,0-20,933,9.029421221864952,8.665110713391925,9.423482422564167,3.4105974049992147,5.618823816865738,False,False,,
Q9,Gemma-3-12B,Grid-Overlay,0-20,933,9.905627009646302,9.373400187092725,10.469803065281358,3.4105974049992147,6.495029604647088,False,False,,
Q9,Gemma-3-27B,Grid-Overlay,0-20,933,12.22556270096463,11.70687505281511,12.792959172576277,3.4105974049992147,8.814965295965415,False,False,,
