model,balanced_mae,mae_bin_0-20,n_bin_0-20,mae_bin_0-20_ci_lo,mae_bin_0-20_ci_hi,mae_bin_20-40,n_bin_20-40,mae_bin_20-40_ci_lo,mae_bin_20-40_ci_hi,mae_bin_40-60,n_bin_40-60,mae_bin_40-60_ci_lo,mae_bin_40-60_ci_hi,mae_bin_60-80,n_bin_60-80,mae_bin_60-80_ci_lo,mae_bin_60-80_ci_hi,mae_bin_80-100,n_bin_80-100,mae_bin_80-100_ci_lo,mae_bin_80-100_ci_hi,overall_mae,rmse,mean_bias,median_bias,p_within_5,p_within_10,exact_zero_rate,spearman_rho,spearman_p,n_images,n_prediction_rows,prompts_pooled,overall_mae_ci_lo,overall_mae_ci_hi,overall_mae_ci_method,balanced_mae_ci_lo,balanced_mae_ci_hi,balanced_mae_ci_method,balanced_mae_ci_lo_stratified,balanced_mae_ci_hi_stratified,balanced_mae_ci_method_stratified,balanced_mae_ci_empty_bin_violations_stratified,mean_bias_bin_0-20,mean_bias_bin_0-20_ci_lo,mean_bias_bin_0-20_ci_hi,mean_bias_bin_0-20_ci_method,mean_bias_bin_20-40,mean_bias_bin_20-40_ci_lo,mean_bias_bin_20-40_ci_hi,mean_bias_bin_20-40_ci_method,mean_bias_bin_40-60,mean_bias_bin_40-60_ci_lo,mean_bias_bin_40-60_ci_hi,mean_bias_bin_40-60_ci_method,mean_bias_bin_60-80,mean_bias_bin_60-80_ci_lo,mean_bias_bin_60-80_ci_hi,mean_bias_bin_60-80_ci_method,mean_bias_bin_80-100,mean_bias_bin_80-100_ci_lo,mean_bias_bin_80-100_ci_hi,mean_bias_bin_80-100_ci_method,balanced_mae_four_prompt,overall_mae_four_prompt,balanced_mae_change,overall_mae_change,balanced_mae_rank,balanced_mae_rank_four_prompt
Llama-4-Maverick,11.466679548569298,4.833101107538407,933,4.370845518771971,5.370130724630987,9.981481481481481,108,8.589506172839506,11.769063806872522,13.021739130434783,46,11.124670192903064,15.217391304347824,13.719298245614036,38,11.192982456140351,16.96269910805514,15.777777777777777,30,13.033333333333331,19.10331569579974,6.217272727272727,10.78831127531831,2.793607503607504,0.5666666666666667,0.6756132756132757,0.8080808080808081,0.341991341991342,0.8233561035634579,0.0,1155,3465,Grid-Overlay|Point-Hint|Short,5.767009283218688,6.733616885344591,BCa,10.52804775941306,12.557186007914614,BCa,10.541498818757361,12.515949854875068,BCa,0,3.9495712754555203,3.4641684560943813,4.514055935338452,BCa,4.320987654320988,2.1403212653307233,6.6442246760483235,BCa,-3.847826086956522,-7.825539968860232,0.10715022068264542,BCa,-7.368421052631578,-11.964912280701753,-2.9824561403508776,BCa,-15.6,-19.279531828850647,-12.888888888888888,BCa,16.109682639735396,6.729025974025974,-4.643003091166099,-0.5117532467532468,1,4
Qwen-2.5,12.388135297130836,5.572650946766702,933,5.1372344405007215,6.0604582723273905,8.598765432098766,108,7.472222222222223,10.095206086992926,12.304347826086957,46,10.384057971014492,14.44927536231884,18.964912280701753,38,14.929824561403507,23.507725161933863,16.5,30,13.68888888888889,19.61111111111111,6.848152958152958,10.98971961559699,2.808470418470419,2.3000000000000003,0.7004329004329004,0.7861471861471861,0.13823953823953825,0.7607623714293249,0.0,1155,3465,Grid-Overlay|Point-Hint|Short,6.3842446373043575,7.339118473575628,BCa,11.288509151780318,13.561228014124621,BCa,11.322975577369116,13.581147623182575,BCa,0,4.624633797784923,4.145266480539927,5.167983546532679,BCa,3.765432098765431,1.918376242721875,5.751534848600088,BCa,-7.043478260869565,-10.478260869565217,-3.5362318840579707,BCa,-17.33333333333333,-22.219298245614034,-12.6140350877193,BCa,-16.500000000000004,-19.566666666666663,-13.663139723898592,BCa,12.883233693437969,6.641320346320346,-0.49509839630713337,0.2068326118326116,2,1
Llama-4-Scout,13.347957614170983,5.061754197927831,933,4.628284272644008,5.55363362026923,13.255493827160493,108,11.615555429402963,15.261986158242257,15.797101449275361,46,13.550724637681158,18.384057971014496,17.092105263157894,38,14.109583200957456,20.67046866752926,15.533333333333333,30,11.761111111111111,23.23737868396711,6.923269841269842,12.0823738493517,3.201480519480519,1.5,0.643001443001443,0.7965367965367965,0.2909090909090909,0.8222960255338038,0.0,1155,3465,Grid-Overlay|Point-Hint|Short,6.446490364949623,7.464623972099403,BCa,12.135939186555062,15.030883675416664,BCa,12.161853096185183,15.03623146976615,BCa,0,4.230743122543766,3.775276511582464,4.76538626763386,BCa,5.36351851851852,2.578197952648937,8.246464158980089,BCa,-3.6376811594202887,-8.144927536231886,0.9357604136299889,BCa,-6.135964912280701,-12.3471128370385,-0.6766880351411723,BCa,-14.277777777777777,-21.86111111111111,-10.111111111111109,BCa,18.018152395537907,7.502160173160172,-4.670194781366924,-0.5788903318903307,3,6
Gemma-3-27B,14.500081011279772,9.305769917827796,933,8.89863037157867,9.784923905937646,8.222222222222221,108,7.205848764850649,9.537014619796228,13.144927536231883,46,11.297101449275361,15.297101449275358,16.93859649122807,38,12.921052631578949,21.48532280513362,24.88888888888889,30,20.444444444444446,30.133333333333333,10.013232323232323,13.315229511384208,6.2397835497835485,6.0,0.488023088023088,0.6366522366522367,0.004329004329004329,0.7383363526369539,0.0,1155,3465,Grid-Overlay|Point-Hint|Short,9.568479080366396,10.489400237664265,BCa,13.115368746599454,15.923355759411528,BCa,13.188864698530486,15.933466390088567,BCa,0,9.09748124330118,8.646099144431638,9.583338275731283,BCa,3.364197530864198,1.703703703703704,5.253086419753087,BCa,-7.2608695652173925,-10.644927536231885,-3.355072463768116,BCa,-14.833333333333336,-19.850877192982455,-9.966920179492918,BCa,-24.888888888888893,-30.06666666666667,-20.27777777777778,BCa,16.187335701237963,10.231233766233766,-1.6872546899581913,-0.21800144300144275,4,5
Mistral-Small-3.2,14.540438344412532,5.38426223651304,933,5.026126310179931,5.799398450144503,7.953703703703703,108,6.9567901234567895,9.299382716049381,14.81159420289855,46,12.666666666666668,17.152173913043477,20.719298245614038,38,16.03098289960243,25.71929824561403,23.833333333333332,30,20.022222222222222,28.635212323855843,6.983708513708514,10.973469810526645,1.663160173160173,1.8999999999999997,0.6331890331890332,0.780952380952381,0.07474747474747474,0.6748190875395164,0.0,1155,3465,Grid-Overlay|Point-Hint|Short,6.532188334068732,7.488112185869663,BCa,13.188933681960622,16.05602315984065,BCa,13.22842796000767,15.99517807639556,BCa,0,4.305412647374062,3.8707524766681245,4.772785761837459,BCa,-1.7746913580246917,-3.539256485978503,0.09567901234567903,BCa,-10.014492753623188,-13.702575162834458,-6.03883744579603,BCa,-19.175438596491226,-24.736842105263154,-13.789473684210527,BCa,-23.833333333333332,-28.62364049216122,-20.066666666666666,BCa,15.545482538576897,7.593181818181818,-1.0050441941643644,-0.6094733044733038,5,2
Gemma-3-12B,14.648841764252916,8.462111468381565,933,7.9690998509535325,8.989023452591692,12.641975308641975,108,11.049382716049386,14.515432098765432,12.826086956521738,46,10.797296543776103,14.983864575029894,15.1140350877193,38,12.324561403508772,18.289473684210527,24.2,30,19.98888888888889,29.887704480356522,9.654386724386724,13.568727227925933,6.100822510822511,5.0,0.5142857142857142,0.6239538239538239,0.005194805194805195,0.7203779421273543,0.0,1155,3465,Grid-Overlay|Point-Hint|Short,9.168784566644765,10.193084824384583,BCa,13.478663074687208,16.008512799062153,BCa,13.45296665631354,16.002573829729304,BCa,0,8.07872454448017,7.58469923914175,8.637623021120074,BCa,6.092592592592593,3.4488126473617564,8.827788083971368,BCa,-1.8260869565217395,-5.789855072463768,2.166666666666666,BCa,-9.13157894736842,-13.859649122807019,-4.342105263157895,BCa,-23.933333333333334,-29.395053933414758,-19.303731502368038,BCa,16.077253230626933,9.655714285714286,-1.4284114663740173,-0.0013275613275620657,6,3
