question_id,family,contrast,n,wilcoxon_statistic,overall_mae_diff,p_raw,p_holm,n_zero_diff,n_tied_ranks,balanced_mae_diff_estimate,balanced_mae_diff_ci_lo,balanced_mae_diff_ci_hi,balanced_mae_diff_ci_method,balanced_mae_interval_uncorrected,hl_median_abs_diff,rank_biserial,win_rate_a,win_rate_b,tie_rate,symmetry_violated,skew_d,hl_vs_median_gap,tie_burden_exceeded,zero_share,c1_serving_confounded,floor_not_estimable_for_balanced_mae,within_run_to_run_variability,maverick_floor_delta,model_a,model_b
Q1,A,Gemma-3-12B - Gemma-3-27B,1155,270927.0,-0.5755194805194805,2.0735135377067356e-07,8.294054150826942e-07,127,996,-0.11008247061102949,-0.9937632133376564,0.7200594946333895,BCa,True,-0.75,-0.17433721682113645,0.5316017316017316,0.35844155844155845,0.10995670995670996,False,0.30592213884487945,0.25,False,0.10995670995670996,False,False,,,Gemma-3-12B,Gemma-3-27B
Q1,A,Gemma-3-12B - Llama-4-Maverick,1155,156879.0,2.9266883116883116,9.053989553835316e-55,1.086478746460238e-53,28,1070,-0.03242940910846315,-1.1895903577421918,1.1192301002848764,BCa,True,2.9499999999999997,0.533164051929745,0.2632034632034632,0.7125541125541126,0.024242424242424242,False,-0.11509043672384024,0.44999999999999973,False,0.024242424242424242,True,False,False,0.65,Gemma-3-12B,Llama-4-Maverick
Q1,A,Gemma-3-12B - Llama-4-Scout,1155,200483.0,2.1535541125541124,8.073682820329314e-32,7.266314538296383e-31,29,1046,-1.9408991649109737,-3.1406984332495913,-0.6740976503696806,BCa,True,2.25,0.4018827393495046,0.3203463203463203,0.6545454545454545,0.025108225108225107,False,-0.21199407595768816,0.25,False,0.025108225108225107,True,False,,,Gemma-3-12B,Llama-4-Scout
Q1,A,Gemma-3-12B - Mistral-Small-3.2,1155,213666.5,2.062532467532468,4.9592005786267493e-26,3.9673604629013995e-25,44,1040,0.5317706920500367,-0.8857578200385195,2.0758906983279872,BCa,True,2.0,0.36305195267728213,0.3333333333333333,0.6285714285714286,0.0380952380952381,False,0.0985300423144738,0.25,False,0.0380952380952381,False,False,,,Gemma-3-12B,Mistral-Small-3.2
Q1,A,Gemma-3-12B - Qwen-2.5,1155,148711.0,3.014393939393939,2.156129871334776e-59,2.802968832735209e-58,58,1030,3.1940195371889644,1.762281098448913,4.72682841548712,BCa,True,2.875,0.5639340941431591,0.2597402597402597,0.69004329004329,0.050216450216450215,False,0.4549464488685821,0.375,False,0.050216450216450215,False,False,,,Gemma-3-12B,Qwen-2.5
Q1,A,Gemma-3-27B - Llama-4-Maverick,1155,134125.5,3.502207792207792,2.3784348267651316e-69,3.3298087574711842e-68,21,1078,0.07765306150256635,-0.9973425711313472,1.2397588388301022,BCa,True,4.0,0.5986341281495466,0.2051948051948052,0.7766233766233767,0.01818181818181818,False,-0.8308359555828648,-0.5,False,0.01818181818181818,True,False,False,0.65,Gemma-3-27B,Llama-4-Maverick
Q1,A,Gemma-3-27B - Llama-4-Scout,1155,168311.0,2.729073593073593,3.675747459764909e-48,4.0433222057413995e-47,25,1051,-1.8308166942999442,-3.045363614998334,-0.4724736584248439,BCa,True,3.4000000000000004,0.49528258335093855,0.24415584415584415,0.7341991341991342,0.021645021645021644,True,-1.0199247221288692,-0.5999999999999996,False,0.021645021645021644,True,False,,,Gemma-3-27B,Llama-4-Scout
Q1,A,Gemma-3-27B - Mistral-Small-3.2,1155,168487.5,2.6380519480519484,5.909129156414674e-48,5.909129156414674e-47,38,1053,0.6418531626610662,-0.643635933190705,2.1041495859426664,BCa,True,2.75,0.4990302737174549,0.2753246753246753,0.6917748917748918,0.0329004329004329,False,-0.07007954532895445,0.0,False,0.0329004329004329,False,False,,,Gemma-3-27B,Mistral-Small-3.2
Q1,A,Gemma-3-27B - Qwen-2.5,1155,121417.0,3.58991341991342,1.1710734600697216e-77,1.7566101901045823e-76,61,1030,3.304102007799994,1.9222904116067214,4.915382814131314,BCa,True,3.7,0.6391842595143289,0.18961038961038962,0.7575757575757576,0.05281385281385281,False,0.16343019144474877,-0.04999999999999982,False,0.05281385281385281,False,False,,,Gemma-3-27B,Qwen-2.5
Q1,A,Llama-4-Maverick - Llama-4-Scout,1155,244565.5,-0.7731341991341991,5.3058190434480905e-11,3.7140733304136636e-10,246,850,-1.9084697558025105,-3.062821126867551,-0.9386087047597842,BCa,True,-0.4375,-0.23966440600103966,0.47965367965367967,0.30735930735930733,0.21298701298701297,False,-0.810492282565883,-0.4375,False,0.21298701298701297,False,False,False,0.65,Llama-4-Maverick,Llama-4-Scout
