model,balanced_mae,mae_bin_0-20,n_bin_0-20,mae_bin_0-20_ci_lo,mae_bin_0-20_ci_hi,mae_bin_20-40,n_bin_20-40,mae_bin_20-40_ci_lo,mae_bin_20-40_ci_hi,mae_bin_40-60,n_bin_40-60,mae_bin_40-60_ci_lo,mae_bin_40-60_ci_hi,mae_bin_60-80,n_bin_60-80,mae_bin_60-80_ci_lo,mae_bin_60-80_ci_hi,mae_bin_80-100,n_bin_80-100,mae_bin_80-100_ci_lo,mae_bin_80-100_ci_hi,overall_mae,rmse,mean_bias,median_bias,p_within_5,p_within_10,exact_zero_rate,spearman_rho,spearman_p,n_images,n_prediction_rows,overall_mae_ci_lo,overall_mae_ci_hi,overall_mae_ci_method,balanced_mae_ci_lo,balanced_mae_ci_hi,balanced_mae_ci_method,balanced_mae_ci_lo_stratified,balanced_mae_ci_hi_stratified,balanced_mae_ci_method_stratified,balanced_mae_ci_empty_bin_violations_stratified,mean_bias_bin_0-20,mean_bias_bin_0-20_ci_lo,mean_bias_bin_0-20_ci_hi,mean_bias_bin_0-20_ci_method,mean_bias_bin_20-40,mean_bias_bin_20-40_ci_lo,mean_bias_bin_20-40_ci_hi,mean_bias_bin_20-40_ci_method,mean_bias_bin_40-60,mean_bias_bin_40-60_ci_lo,mean_bias_bin_40-60_ci_hi,mean_bias_bin_40-60_ci_method,mean_bias_bin_60-80,mean_bias_bin_60-80_ci_lo,mean_bias_bin_60-80_ci_hi,mean_bias_bin_60-80_ci_method,mean_bias_bin_80-100,mean_bias_bin_80-100_ci_lo,mean_bias_bin_80-100_ci_hi,mean_bias_bin_80-100_ci_method
Gemma-3-12B,16.077253230626933,8.231350482315113,933,7.784202319927361,8.71121225534602,11.962962962962964,108,10.62037037037037,13.55324074074074,14.467391304347826,46,12.728260869565217,16.434782608695652,17.907894736842106,38,14.973684210526315,21.276315789473685,27.816666666666666,30,23.259807403354394,33.1913732369186,9.655714285714286,13.69031667138385,5.3457359307359305,5.0,0.5145021645021645,0.6277056277056277,0.004329004329004329,0.7131168944723009,0.0,1155,4620,9.186489322116325,10.16655608796242,BCa,14.838586158354897,17.455377813603377,BCa,14.856456423613682,17.370298474530856,BCa,0,7.823499464094319,7.36215723085365,8.337413713816298,BCa,3.6527777777777777,1.3481549488961075,6.106481481481482,BCa,-4.815217391304348,-8.487848375326092,-0.6847826086956522,BCa,-12.486842105263158,-17.31578947368421,-7.615617082388757,BCa,-27.45,-33.0,-22.675,BCa
Gemma-3-27B,16.187335701237963,9.236682743837086,933,8.8539702610136,9.64730486529425,8.421296296296296,108,7.49537037037037,9.550925925925926,14.978260869565217,46,13.266304347826088,17.00838013146708,18.967105263157894,38,14.723684210526315,23.513157894736842,29.333333333333332,30,24.216666666666665,34.69368986087547,10.231233766233766,13.721830570267738,5.756017316017316,6.5,0.47619047619047616,0.6214285714285714,0.00367965367965368,0.7308789796344272,0.0,1155,4620,9.801759636754642,10.701258164255782,BCa,14.74510186853703,17.66354534625575,BCa,14.813440352820312,17.647847236833226,BCa,0,9.006377277599144,8.604526156137746,9.444877581377188,BCa,1.9212962962962963,0.28173754720011274,3.6828703703703702,BCa,-9.48913043478261,-12.875,-5.576266303857358,BCa,-16.99342105263158,-22.100893885764812,-11.87116877839186,BCa,-29.333333333333332,-34.55,-24.098410213237884,BCa
Llama-4-Maverick,16.109682639735396,4.427947481243301,933,4.046369593171055,4.8931246130720165,11.703703703703704,108,10.515485944490587,13.12309059270003,17.86413043478261,46,15.554347826086957,20.130434782608695,19.80263157894737,38,16.99578361571192,22.888157894736842,26.75,30,22.88141756036205,30.47354330889774,6.729025974025974,12.737021915374381,0.7141774891774892,0.0,0.6787878787878788,0.8041125541125541,0.37835497835497833,0.7568676711771137,0.0,1155,4620,6.263596711591444,7.2673517871278905,BCa,15.001146822379571,17.2193162665418,BCa,15.044682602488045,17.210995079165578,BCa,0,2.959941050375134,2.5557527030378324,3.40331842134851,BCa,-0.6388888888888888,-2.4775768095169455,1.371728169382173,BCa,-10.929347826086957,-14.141304347826088,-7.733695652173913,BCa,-14.907894736842104,-19.019736842105264,-10.671052631578947,BCa,-26.616666666666667,-30.333333333333332,-22.625,BCa
Llama-4-Scout,18.018152395537907,4.736789924973205,933,4.375739984186559,5.15979675057324,15.06199074074074,108,13.607261121003507,16.783872182543256,20.61413043478261,46,18.11413043478261,23.217391304347824,22.536184210526315,38,19.45394736842105,25.880927129252825,27.141666666666666,30,22.858320091095063,33.2695236222783,7.502160173160172,14.001197138055778,1.138978354978355,0.75,0.6476190476190476,0.7854978354978355,0.3378787878787879,0.738209441692873,0.0,1155,4620,6.995459636323613,8.068322997322714,BCa,16.77430279326939,19.52979477241122,BCa,16.738501657871335,19.4854067967306,BCa,0,3.402411575562701,3.0149161019726347,3.843049360926943,BCa,-0.5005092592592593,-2.824455418923584,1.8780597541989645,BCa,-11.494565217391305,-15.146739130434783,-7.989130434782608,BCa,-13.134868421052632,-18.605263157894736,-7.404950947434043,BCa,-25.9,-32.11666666666667,-21.006663953023644,BCa
Mistral-Small-3.2,15.545482538576897,6.00040192926045,933,5.646928994061577,6.413302784403866,7.699074074074074,108,6.789351851851852,8.875,15.190217391304348,46,13.097826086956522,17.304347826086957,22.04605263157895,38,17.516733387152186,26.782894736842106,26.791666666666668,30,23.15,31.341666666666665,7.593181818181818,11.553633543260235,2.0499567099567098,2.5,0.6032467532467533,0.7463203463203463,0.05909090909090909,0.6471132948678778,0.0,1155,4620,7.151990639399774,8.083104944916302,BCa,14.265477205122966,16.977254644014693,BCa,14.244144823688055,16.913230905672766,BCa,0,5.021382636655948,4.603429809718546,5.480663533186612,BCa,-2.013888888888889,-3.747074921845123,-0.2824074074074074,BCa,-11.03804347826087,-14.358695652173912,-7.331521739130435,BCa,-20.74342105263158,-26.013157894736842,-15.552631578947368,BCa,-26.791666666666668,-31.47049979184523,-23.192785026731947,BCa
Qwen-2.5,12.883233693437969,5.238987138263666,933,4.829248366503565,5.711231803028383,8.168981481481481,108,7.111111111111111,9.587070609292441,13.065217391304348,46,11.184782608695652,15.141304347826088,20.151315789473685,38,16.157894736842106,24.657894736842106,17.791666666666668,30,14.641666666666667,21.19654605330799,6.641320346320346,10.839219912507001,2.25547619047619,2.0,0.711038961038961,0.7926406926406926,0.15735930735930737,0.7703844091059655,0.0,1155,4620,6.220445718601923,7.13277635529748,BCa,11.712771075450735,14.124536381250202,BCa,11.741329400832832,14.050010017666489,BCa,0,4.20131296891747,3.76357045266872,4.689310263357669,BCa,2.9050925925925926,1.1442967445694239,4.843515903495821,BCa,-8.402173913043478,-11.574297180776062,-4.767716337811773,BCa,-18.638157894736842,-23.456435708921997,-13.904510960033685,BCa,-17.791666666666668,-21.178004965032038,-14.691666666666666,BCa
