question_id,row_type,model,prompt,cutoff,cutoff_label,n_retained,n_cell_usable,n_excluded_unusable_confidence,retained_fraction,pooled_mae,ci_lo,ci_hi,ci_method,n_boot_replicates_defined,boot_replicates_undefined_fraction,ci_degenerate,share_retained_0_20_bin,unfiltered_share_0_20_bin,row_type_perbin_change,representative_cutoff,representative_cutoff_retained_fraction,bin,n_before,mae_before,ci_lo_before,ci_hi_before,ci_method_before,n_boot_replicates_defined_before,ci_degenerate_before,n_after,mae_after,ci_lo_after,ci_hi_after,ci_method_after,n_boot_replicates_defined_after,ci_degenerate_after
Q5,single_configuration,Gemma-3-12B,Point-Hint,0.95,0.95,1.0,1109.0,46.0,0.0009017132551848512,3.0,3.0,3.0,"percentile (BCa fallback, degenerate: n_retained=1 < 30, 36.8% of replicates undefined)",6317.0,0.36829999999999996,True,1.0,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-12B,Short,,retain_all,1155.0,1155.0,0.0,1.0,9.437272727272727,8.905055877349673,9.985654369382196,BCa,10000.0,0.0,False,0.8077922077922078,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-12B,Short,0.6,0.6,1155.0,1155.0,0.0,1.0,9.437272727272727,8.905055877349673,9.985654369382196,BCa,10000.0,0.0,False,0.8077922077922078,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-12B,Short,0.7,0.7,1154.0,1155.0,0.0,0.9991341991341991,9.444584055459272,8.91563537080948,9.999548872646834,BCa,10000.0,0.0,False,0.8076256499133448,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-12B,Short,0.75,0.75,1027.0,1155.0,0.0,0.8891774891774892,10.124829600778968,9.541512419432436,10.726248712236274,BCa,10000.0,0.0,False,0.7838364167478091,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-12B,Short,0.8,0.8,663.0,1155.0,0.0,0.574025974025974,8.862217194570135,8.100607233518256,9.691331350073419,BCa,10000.0,0.0,False,0.722473604826546,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-12B,Short,0.85,0.85,126.0,1155.0,0.0,0.10909090909090909,14.029761904761905,11.924435523958872,16.401550794179215,BCa,10000.0,0.0,False,0.31746031746031744,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-12B,Short,0.95,0.95,21.0,1155.0,0.0,0.01818181818181818,0.37857142857142856,0.2,0.5930784008696395,"BCa, degenerate: n_retained=21 < 30",10000.0,0.0,True,1.0,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-12B,Short,1.0,1,17.0,1155.0,0.0,0.01471861471861472,0.23823529411764705,0.09333333333333334,0.4780358195401301,"BCa, degenerate: n_retained=17 < 30",10000.0,0.0,True,1.0,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-27B,Detailed,,retain_all,1155.0,1155.0,0.0,1.0,10.885238095238096,10.327772395317494,11.518415729768973,BCa,10000.0,0.0,False,0.8077922077922078,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-27B,Detailed,0.85,0.85,1155.0,1155.0,0.0,1.0,10.885238095238096,10.327772395317494,11.518415729768973,BCa,10000.0,0.0,False,0.8077922077922078,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-27B,Detailed,0.9,0.9,812.0,1155.0,0.0,0.703030303030303,8.632142857142858,8.177133132129468,9.187129668377422,BCa,10000.0,0.0,False,0.9310344827586207,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-27B,Detailed,0.95,0.95,94.0,1155.0,0.0,0.08138528138528138,4.481914893617021,4.1637223903659955,4.773157597856156,BCa,10000.0,0.0,False,0.9893617021276596,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-27B,Detailed,1.0,1,2.0,1155.0,0.0,0.0017316017316017316,0.125,0.0,0.25,"percentile (BCa fallback, degenerate: n_retained=2 < 30, 13.6% of replicates undefined)",8642.0,0.13580000000000003,True,1.0,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-27B,Grid-Overlay,,retain_all,1155.0,1155.0,0.0,1.0,12.342380952380953,11.836464955367527,12.863469374791146,BCa,10000.0,0.0,False,0.8077922077922078,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-27B,Grid-Overlay,0.8,0.8,1155.0,1155.0,0.0,1.0,12.342380952380953,11.836464955367527,12.863469374791146,BCa,10000.0,0.0,False,0.8077922077922078,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-27B,Grid-Overlay,0.85,0.85,792.0,1155.0,0.0,0.6857142857142857,13.250063131313132,12.641959898179957,13.936496367964729,BCa,10000.0,0.0,False,0.7563131313131313,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-27B,Grid-Overlay,0.9,0.9,80.0,1155.0,0.0,0.06926406926406926,4.821875,4.508449111055419,5.558046653948064,BCa,10000.0,0.0,False,0.975,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-27B,Grid-Overlay,0.95,0.95,27.0,1155.0,0.0,0.023376623376623377,4.2518518518518515,3.5813263572421965,4.6454206651783165,"BCa, degenerate: n_retained=27 < 30",10000.0,0.0,True,1.0,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-27B,Grid-Overlay,1.0,1,2.0,1155.0,0.0,0.0017316017316017316,0.625,0.25,1.0,"percentile (BCa fallback, degenerate: n_retained=2 < 30, 13.6% of replicates undefined)",8636.0,0.13639999999999997,True,1.0,0.8077922077922078,,,,,,,,,,,,,,,,,,
