question_id,test,component_label,jt_statistic,jt_j_bar,jt_z,p_value_raw,at_floor,direction,n_perm,variance_method,family,holm_adjusted_p,n_bins,n_images,loco_min,loco_max,loco_note,loco_per_campaign_j_bar
Q8,relative_skill_r_i,behavioural,343770.0,0.3614006463059181,14.54496537035255,9.999000099990002e-05,True,increasing,10000,textbook,"none (secondary, uncorrected)",,8,1155,0.34694941494907794,0.4715543292602812,"Clustered companion is the LOCO range on j_bar (rescaled Jonckheere-Terpstra excess concordance, [-1, 1]), leave-one-campaign-out; no wild-bootstrap analogue exists for a rank-based test.","{'campaign_1': 0.3619174322498193, 'campaign_2': 0.4715543292602812, 'campaign_3': 0.34694941494907794}"
Q8,signed_bias,behavioural,191523.5,-0.24152713534406287,-9.71911057713675,9.999000099990002e-05,True,decreasing,10000,textbook,"none (secondary, uncorrected)",,8,1155,-0.3497955745167598,-0.21455465565724757,"Clustered companion is the LOCO range on j_bar (rescaled Jonckheere-Terpstra excess concordance, [-1, 1]), leave-one-campaign-out; no wild-bootstrap analogue exists for a rank-based test.","{'campaign_1': -0.21786383968322143, 'campaign_2': -0.3497955745167598, 'campaign_3': -0.21455465565724757}"
Q8,raw_abs_error,structural_component,393612.5,0.5587873051577746,22.48574629094722,9.999000099990002e-05,True,increasing,10000,textbook,"none (secondary, uncorrected)",,8,1155,0.39135307256525,0.6964205277547899,"Clustered companion is the LOCO range on j_bar (rescaled Jonckheere-Terpstra excess concordance, [-1, 1]), leave-one-campaign-out; no wild-bootstrap analogue exists for a rank-based test.","{'campaign_1': 0.6964205277547899, 'campaign_2': 0.39135307256525, 'campaign_3': 0.5468409356601965}"
