question_id,baseline,baseline_value,overall_mae,balanced_mae,mae_bin_0-20,mae_bin_20-40,mae_bin_40-60,mae_bin_60-80,mae_bin_80-100,n_bin_0-20,n_bin_20-40,n_bin_40-60,n_bin_60-80,n_bin_80-100,is_oracle_baseline,note,bin,n_images,value,ci_lo,ci_hi,quantity,n_images_check,n_r_eq_minus1,share_r_eq_minus1,n_r_eq_plus1,share_r_eq_plus1
Q3,B_median,3.0,11.855367965367966,47.1354980271095,3.583011789924973,26.49074074074074,48.17391304347826,68.76315789473684,88.66666666666667,933.0,108.0,46.0,38.0,30.0,True,"computed from D1.v7 over the full 1,155-image frame; calibrated on the same frame it is scored on, so harder to beat than a baseline built without seeing this data.",,,,,,,,,,,
Q3,B_mean,12.478831168831169,14.918576038679934,40.76193059347132,9.630499297058783,17.01190957190957,38.69508187464709,59.28432672590567,79.18783549783551,933.0,108.0,46.0,38.0,30.0,True,"computed from D1.v7 over the full 1,155-image frame; calibrated on the same frame it is scored on, so harder to beat than a baseline built without seeing this data.",,,,,,,,,,,
Q3,B_zero,0.0,12.478831168831169,49.54709502603769,3.6409967845659166,29.49074074074074,51.17391304347826,71.76315789473684,91.66666666666667,933.0,108.0,46.0,38.0,30.0,True,"computed from D1.v7 over the full 1,155-image frame; calibrated on the same frame it is scored on, so harder to beat than a baseline built without seeing this data.",,,,,,,,,,,
Q3,B_median,,,,,,,,,,,,,,True,,0-20,933.0,-0.7616538785603537,-0.9031287624390204,-0.632699846668795,skill_ratio_1_minus_mae_model_over_mae_base,933.0,77.0,0.08252947481243302,0.0,0.0
Q3,B_median,,,,,,,,,,,,,,True,,20-40,108.0,0.6035217872538741,0.5637901201956331,0.6350192415573713,skill_ratio_1_minus_mae_model_over_mae_base,108.0,0.0,0.0,0.0,0.0
Q3,B_median,,,,,,,,,,,,,,True,,40-60,46.0,0.667249548736462,0.6417276797985099,0.6897517308264538,skill_ratio_1_minus_mae_model_over_mae_base,46.0,0.0,0.0,0.0,0.0
Q3,B_median,,,,,,,,,,,,,,True,,60-80,38.0,0.7057261768082663,0.6665891143336978,0.743754457021053,skill_ratio_1_minus_mae_model_over_mae_base,38.0,0.0,0.0,0.0,0.0
Q3,B_median,,,,,,,,,,,,,,True,,80-100,30.0,0.7074718045112782,0.6635533929723022,0.7469524075297299,skill_ratio_1_minus_mae_model_over_mae_base,30.0,0.0,0.0,0.0,0.0
