question_id,family,contrast,n,wilcoxon_statistic,overall_mae_diff,p_raw,p_holm,n_zero_diff,n_tied_ranks,balanced_mae_diff_estimate,balanced_mae_diff_ci_lo,balanced_mae_diff_ci_hi,balanced_mae_diff_ci_method,balanced_mae_interval_uncorrected,hl_median_abs_diff,rank_biserial,win_rate_a,win_rate_b,tie_rate,symmetry_violated,skew_d,hl_vs_median_gap,tie_burden_exceeded,zero_share,c1_serving_confounded,floor_not_estimable_for_balanced_mae,within_run_to_run_variability,maverick_floor_delta,model_a,model_b,prompts_pooled
Q1,"models, three prompts",Gemma-3-12B - Gemma-3-27B,1155,282924.5,-0.35884559884559886,8.963060256507868e-05,0.0003585224102603147,161,939,0.1487607529731445,-0.8358503025645574,1.0822665298010263,BCa,True,-0.5000000000000009,-0.12011364670434668,0.509090909090909,0.3515151515151515,0.1393939393939394,False,0.41085843277756645,-0.16666666666666763,False,0.1393939393939394,False,False,,,Gemma-3-12B,Gemma-3-27B,Grid-Overlay|Point-Hint|Short
Q1,"models, three prompts",Gemma-3-12B - Llama-4-Maverick,1155,138532.0,3.437113997113997,3.589268557042571e-66,5.0249759798596e-65,42,1015,3.1821622156836185,2.0643194362988324,4.464695713012915,BCa,True,3.333333333333333,0.5910191453702852,0.24242424242424243,0.7212121212121212,0.03636363636363636,False,0.16078367820184344,0.33333333333333304,False,0.03636363636363636,True,False,False,0.65,Gemma-3-12B,Llama-4-Maverick,Grid-Overlay|Point-Hint|Short
Q1,"models, three prompts",Gemma-3-12B - Llama-4-Scout,1155,174703.0,2.731116883116883,1.4181518123880958e-44,1.2763366311492863e-43,33,979,1.3008841500819326,-0.01775422692372605,2.705327405825775,BCa,True,2.666666666666667,0.4801707293457333,0.28744588744588745,0.683982683982684,0.02857142857142857,False,-0.10103970529507605,0.3333333333333335,False,0.02857142857142857,True,False,,,Gemma-3-12B,Llama-4-Scout,Grid-Overlay|Point-Hint|Short
Q1,"models, three prompts",Gemma-3-12B - Mistral-Small-3.2,1155,187765.0,2.6706782106782105,1.2453923478642726e-37,9.96313878291418e-37,51,1024,0.10840341984038382,-1.3651841547964925,1.812450460486011,BCa,True,2.5,0.4401895206243032,0.2891774891774892,0.6666666666666666,0.04415584415584416,False,0.2060732588406337,0.2333333333333334,False,0.04415584415584416,False,False,,,Gemma-3-12B,Mistral-Small-3.2,Grid-Overlay|Point-Hint|Short
Q1,"models, three prompts",Gemma-3-12B - Qwen-2.5,1155,164998.0,2.806233766233766,5.414927638081536e-49,5.4149276380815356e-48,90,978,2.2607064671220805,0.9355354285033937,3.836671156508801,BCa,True,2.500000000000001,0.516958662544372,0.2683982683982684,0.6536796536796536,0.07792207792207792,False,0.44025901079216273,0.16666666666666785,False,0.07792207792207792,False,False,,,Gemma-3-12B,Qwen-2.5,Grid-Overlay|Point-Hint|Short
Q1,"models, three prompts",Gemma-3-27B - Llama-4-Maverick,1155,118165.0,3.7959595959595966,2.2592826189259348e-80,3.388923928388902e-79,40,1028,3.033401462710474,1.9135708800771905,4.224552400068555,BCa,True,4.166666666666666,0.6486973013806516,0.19220779220779222,0.7731601731601732,0.03463203463203463,False,-0.6811790483901765,-0.16666666666666785,False,0.03463203463203463,True,False,False,0.65,Gemma-3-27B,Llama-4-Maverick,Grid-Overlay|Point-Hint|Short
Q1,"models, three prompts",Gemma-3-27B - Llama-4-Scout,1155,156424.0,3.0899624819624822,4.6964642230354586e-55,5.1661106453390045e-54,27,1002,1.152123397108788,-0.25064999726715415,2.591257605576932,BCa,True,3.583333333333333,0.531242736621249,0.23030303030303031,0.7463203463203463,0.023376623376623377,False,-0.8343399766234718,-0.41666666666666696,False,0.023376623376623377,True,False,,,Gemma-3-27B,Llama-4-Scout,Grid-Overlay|Point-Hint|Short
Q1,"models, three prompts",Gemma-3-27B - Mistral-Small-3.2,1155,154112.5,3.02952380952381,4.58257742368366e-56,5.499092908420392e-55,57,1025,-0.04035733313276069,-1.2880375580212682,1.4931962581783713,BCa,True,3.1666666666666665,0.539970929028045,0.2329004329004329,0.7177489177489178,0.04935064935064935,False,-0.018736919048996766,-0.16666666666666696,False,0.04935064935064935,False,False,,,Gemma-3-27B,Mistral-Small-3.2,Grid-Overlay|Point-Hint|Short
Q1,"models, three prompts",Gemma-3-27B - Qwen-2.5,1155,137783.0,3.1650793650793654,1.1680533677062476e-64,1.5184693780181218e-63,120,964,2.111945714148936,0.7892829729902341,3.58474394912585,BCa,True,3.333333333333333,0.5916550090463134,0.20432900432900433,0.6917748917748918,0.1038961038961039,False,0.04585239580249879,0.0,False,0.1038961038961039,False,False,,,Gemma-3-27B,Qwen-2.5,Grid-Overlay|Point-Hint|Short
Q1,"models, three prompts",Llama-4-Maverick - Llama-4-Scout,1155,251088.5,-0.705997113997114,1.3250612599889124e-08,7.950367559933474e-08,273,765,-1.8812780656016859,-3.274794923486468,-0.7771659380073523,BCa,True,-0.41666666666666696,-0.20815453399177716,0.4562770562770563,0.30735930735930733,0.23636363636363636,True,-1.0855203483817553,-0.41666666666666696,False,0.23636363636363636,False,False,False,0.65,Llama-4-Maverick,Llama-4-Scout,Grid-Overlay|Point-Hint|Short
