estimate,ci_lo,ci_hi,p_primary_raw,p_primary_holm,p_companion_raw,p_companion_holm,p_clustered_webb,n_distinct_abs_t_star,loco_min,loco_max,ci_width_ratio_clustered_to_headline,stream_note,question_id,model,family,family_size,holm_first_threshold,n_excluded_unusable_confidence,n_total_rows,k8_degenerate,n_empty_bin_violations,loco_note,p_primary_at_floor,n_pos,n_neg,result_direction,result_direction_unadjusted_for_robustness,not_robustly_classified
0.2922134414068215,0.2734442281402809,0.3119237534990101,9.999000099990002e-05,0.0005999400059994001,,,,,0.27605892359195927,0.3110720738229103,,"p_primary_* = family-G bootstrap p on (mean AUC - 0.5), Holm-adjusted within family G (size 6). No paired-difference companion stream exists for a ranking statistic (AUC), so p_companion_* is NaN by construction, not by omission. Cut-free companion is tie-corrected Spearman(confidence, |e|), reported separately with no p-value in this family. AUC orientation: AUC = P(confidence on a random non-outlier > confidence on a random outlier), so AUC > 0.5 means low confidence usefully flags outliers ('informative') and AUC < 0.5 means confidence is systematically higher on the images the model gets worst ('anti-informative') — see result_direction for the Holm-adjusted verdict per model. A directional verdict is downgraded to 'label-dependent / not robustly classified' if the cut-free Spearman companion disagrees in sign, a relabelling check collapses the departure from chance by half or more or reverses its sign, or the feeding cells are K8-degenerate; see not_robustly_classified.",Q5,Gemma-3-12B,G,6,0.008333333333333333,59,4620,False,0,,True,514,4047,anti-informative,anti-informative,False
0.5944795027703507,0.5765750239555167,0.6119543027974839,9.999000099990002e-05,0.0005999400059994001,,,,,0.5882634489749583,0.6042198854241604,,"p_primary_* = family-G bootstrap p on (mean AUC - 0.5), Holm-adjusted within family G (size 6). No paired-difference companion stream exists for a ranking statistic (AUC), so p_companion_* is NaN by construction, not by omission. Cut-free companion is tie-corrected Spearman(confidence, |e|), reported separately with no p-value in this family. AUC orientation: AUC = P(confidence on a random non-outlier > confidence on a random outlier), so AUC > 0.5 means low confidence usefully flags outliers ('informative') and AUC < 0.5 means confidence is systematically higher on the images the model gets worst ('anti-informative') — see result_direction for the Holm-adjusted verdict per model. A directional verdict is downgraded to 'label-dependent / not robustly classified' if the cut-free Spearman companion disagrees in sign, a relabelling check collapses the departure from chance by half or more or reverses its sign, or the feeding cells are K8-degenerate; see not_robustly_classified.",Q5,Gemma-3-27B,G,6,0.008333333333333333,0,4620,False,0,,True,482,4138,informative,informative,False
0.6891778152791224,0.667418666346717,0.7087112954809305,9.999000099990002e-05,0.0005999400059994001,,,,,0.6552589028828061,0.7187349165442598,,"p_primary_* = family-G bootstrap p on (mean AUC - 0.5), Holm-adjusted within family G (size 6). No paired-difference companion stream exists for a ranking statistic (AUC), so p_companion_* is NaN by construction, not by omission. Cut-free companion is tie-corrected Spearman(confidence, |e|), reported separately with no p-value in this family. AUC orientation: AUC = P(confidence on a random non-outlier > confidence on a random outlier), so AUC > 0.5 means low confidence usefully flags outliers ('informative') and AUC < 0.5 means confidence is systematically higher on the images the model gets worst ('anti-informative') — see result_direction for the Holm-adjusted verdict per model. A directional verdict is downgraded to 'label-dependent / not robustly classified' if the cut-free Spearman companion disagrees in sign, a relabelling check collapses the departure from chance by half or more or reverses its sign, or the feeding cells are K8-degenerate; see not_robustly_classified.",Q5,Llama-4-Maverick,G,6,0.008333333333333333,1,4620,False,0,,True,342,4277,informative,informative,False
0.6133865594497774,0.5918219309860102,0.6355243819611858,9.999000099990002e-05,0.0005999400059994001,,,,,0.5490127480180869,0.6721072835700601,,"p_primary_* = family-G bootstrap p on (mean AUC - 0.5), Holm-adjusted within family G (size 6). No paired-difference companion stream exists for a ranking statistic (AUC), so p_companion_* is NaN by construction, not by omission. Cut-free companion is tie-corrected Spearman(confidence, |e|), reported separately with no p-value in this family. AUC orientation: AUC = P(confidence on a random non-outlier > confidence on a random outlier), so AUC > 0.5 means low confidence usefully flags outliers ('informative') and AUC < 0.5 means confidence is systematically higher on the images the model gets worst ('anti-informative') — see result_direction for the Holm-adjusted verdict per model. A directional verdict is downgraded to 'label-dependent / not robustly classified' if the cut-free Spearman companion disagrees in sign, a relabelling check collapses the departure from chance by half or more or reverses its sign, or the feeding cells are K8-degenerate; see not_robustly_classified.",Q5,Llama-4-Scout,G,6,0.008333333333333333,44,4620,False,0,,True,413,4163,informative,informative,False
0.46697885379152915,0.44116227573696865,0.4893286151338046,0.0054,0.0054,,,,,0.4594502756535315,0.47577698884606917,,"p_primary_* = family-G bootstrap p on (mean AUC - 0.5), Holm-adjusted within family G (size 6). No paired-difference companion stream exists for a ranking statistic (AUC), so p_companion_* is NaN by construction, not by omission. Cut-free companion is tie-corrected Spearman(confidence, |e|), reported separately with no p-value in this family. AUC orientation: AUC = P(confidence on a random non-outlier > confidence on a random outlier), so AUC > 0.5 means low confidence usefully flags outliers ('informative') and AUC < 0.5 means confidence is systematically higher on the images the model gets worst ('anti-informative') — see result_direction for the Holm-adjusted verdict per model. A directional verdict is downgraded to 'label-dependent / not robustly classified' if the cut-free Spearman companion disagrees in sign, a relabelling check collapses the departure from chance by half or more or reverses its sign, or the feeding cells are K8-degenerate; see not_robustly_classified.",Q5,Mistral-Small-3.2,G,6,0.008333333333333333,5,4620,True,0,,False,315,4300,label-dependent / not robustly classified,anti-informative,True
0.615535531211866,0.5972780098109763,0.6336314751586825,9.999000099990002e-05,0.0005999400059994001,,,,,0.5896376087721181,0.6394225642235378,,"p_primary_* = family-G bootstrap p on (mean AUC - 0.5), Holm-adjusted within family G (size 6). No paired-difference companion stream exists for a ranking statistic (AUC), so p_companion_* is NaN by construction, not by omission. Cut-free companion is tie-corrected Spearman(confidence, |e|), reported separately with no p-value in this family. AUC orientation: AUC = P(confidence on a random non-outlier > confidence on a random outlier), so AUC > 0.5 means low confidence usefully flags outliers ('informative') and AUC < 0.5 means confidence is systematically higher on the images the model gets worst ('anti-informative') — see result_direction for the Holm-adjusted verdict per model. A directional verdict is downgraded to 'label-dependent / not robustly classified' if the cut-free Spearman companion disagrees in sign, a relabelling check collapses the departure from chance by half or more or reverses its sign, or the feeding cells are K8-degenerate; see not_robustly_classified.",Q5,Qwen-2.5,G,6,0.008333333333333333,0,4620,False,0,,True,362,4258,informative,informative,False
