question_id,config_a_model,config_a_prompt,config_b_model,config_b_prompt,balanced_mae_local_a,balanced_mae_local_b,balanced_mae_api_a,balanced_mae_api_b,local_gap_a_minus_b,local_gap_ci_lo,local_gap_ci_hi,local_gap_ci_method,separated_locally,counts_as_real_reversal,tier,corrected,claim_wording
Q7,Mistral-Small-3.2,Point-Hint,Gemma-3-27B,Grid-Overlay,14.048447263365555,14.380937610114106,18.68933902240884,15.554414707333908,-0.33249034674854805,-1.9251940594772616,1.169438543203452,BCa,False,False,secondary,False,stack and possibly weights
Q7,Mistral-Small-3.2,Point-Hint,Gemma-3-27B,Point-Hint,14.048447263365555,14.456707233622993,18.68933902240884,16.316390734513718,-0.4082599702574381,-1.9931119531331567,0.9369946664351784,BCa,False,False,secondary,False,stack and possibly weights
Q7,Mistral-Small-3.2,Point-Hint,Gemma-3-27B,Short,14.048447263365555,14.66259819010222,18.68933902240884,16.40305002140625,-0.6141509267366647,-2.2472278050911325,0.7726707380918624,BCa,False,False,secondary,False,stack and possibly weights
Q7,Mistral-Small-3.2,Point-Hint,Gemma-3-12B,Grid-Overlay,14.048447263365555,15.73782851236235,18.68933902240884,17.334909607304997,-1.6893812489967939,-3.3784902832484023,-0.20430658935103554,BCa,True,True,secondary,False,stack and possibly weights
Q7,Gemma-3-12B,Point-Hint,Qwen-2.5,Detailed,14.264157003877107,14.36852888235937,15.433707409941821,15.299833535405066,-0.10437187848226515,-1.8509843181841723,1.7840535916985767,BCa,False,False,secondary,False,stack and possibly weights
Q7,Mistral-Small-3.2,Detailed,Gemma-3-12B,Detailed,18.560615121069993,20.36248762974899,26.04007833788301,21.942746393298904,-1.8018725086790042,-3.736180807568403,0.11597504443143951,BCa,False,False,secondary,False,stack and possibly weights
Q7,Mistral-Small-3.2,Detailed,Gemma-3-27B,Detailed,18.560615121069993,21.249099771112544,26.04007833788301,23.426338114107985,-2.6884846500425574,-4.739901329634873,-0.6826343834395406,BCa,True,True,secondary,False,stack and possibly weights
Q7,Mistral-Small-3.2,Detailed,Llama-4-Maverick,Detailed,18.560615121069993,30.0386919132337,26.04007833788301,21.2322596552272,-11.478076792163705,-14.083720202460405,-8.871969591489353,BCa,True,True,secondary,False,stack and possibly weights
Q7,Gemma-3-12B,Detailed,Llama-4-Maverick,Detailed,20.36248762974899,30.0386919132337,21.942746393298904,21.2322596552272,-9.6762042834847,-12.238099568295906,-7.030136549646201,BCa,True,True,secondary,False,stack and possibly weights
Q7,Gemma-3-27B,Detailed,Llama-4-Maverick,Detailed,21.249099771112544,30.0386919132337,23.426338114107985,21.2322596552272,-8.789592142121148,-11.089150116326119,-6.53657202462794,BCa,True,True,secondary,False,stack and possibly weights
