image,reference,baseline_prediction,absolute_error,bin
IMG_20241126_084446.jpg,7.0,0.762806046975003,6.237193953024997,0-20
IMG_20241126_084802.jpg,16.0,0.9614441190677454,15.038555880932254,0-20
IMG_20241126_085116.jpg,5.0,1.11168450368313,3.88831549631687,0-20
IMG_20241126_085422.jpg,4.0,0.3315194420963652,3.668480557903635,0-20
IMG_20241126_085623.jpg,5.0,0.2737346787827557,4.7262653212172445,0-20
IMG_20241126_085912.jpg,7.0,0.4098236927907258,6.5901763072092745,0-20
IMG_20241126_090210.jpg,4.0,0.2249596214225335,3.7750403785774664,0-20
IMG_20241126_091749.jpg,20.0,0.3168963591353701,19.68310364086463,0-20
IMG_20241126_092056.jpg,4.0,0.3027921597633136,3.6972078402366866,0-20
IMG_20241126_092425.jpg,25.0,1.2620192307692308,23.73798076923077,20-40
IMG_20241126_092823.jpg,22.0,1.754817126554764,20.245182873445238,20-40
IMG_20241126_093846.jpg,2.0,0.2928390291027654,1.7071609708972346,0-20
IMG_20241126_094122.jpg,3.0,0.4041159733124019,2.595884026687598,0-20
IMG_20241126_094419.jpg,2.0,0.48779774483758,1.51220225516242,0-20
IMG_20241126_094657.jpg,2.0,0.3782189651008332,1.6217810348991668,0-20
IMG_20241126_094902.jpg,3.0,0.7537019985508997,2.2462980014491003,0-20
IMG_20241126_095239.jpg,20.0,1.5233478746528195,18.47665212534718,0-20
IMG_20241126_095525.jpg,15.0,1.779157483999517,13.220842516000483,0-20
IMG_20241126_095834.jpg,4.0,0.6570009660669002,3.3429990339330997,0-20
IMG_20241126_100125.jpg,2.0,0.611197696534235,1.388802303465765,0-20
IMG_20241126_100718.jpg,12.0,0.82210028982007,11.17789971017993,0-20
IMG_20241126_101047.jpg,3.0,0.8182322485207101,2.18176775147929,0-20
IMG_20241126_101358.jpg,1.0,0.2804801654389566,0.7195198345610434,0-20
IMG_20241126_101530.jpg,2.0,0.3365667642796763,1.6634332357203236,0-20
IMG_20241126_102556.jpg,3.0,0.4002479320130419,2.599752067986958,0-20
IMG_20241126_103008.jpg,2.0,0.5041189922714648,1.4958810077285352,0-20
IMG_20241126_103301.jpg,6.0,0.6359154238618524,5.364084576138148,0-20
IMG_20241126_103535.jpg,2.0,0.3149151672503321,1.685084832749668,0-20
IMG_20241126_104221.jpg,6.0,0.3287835104455983,5.671216489554402,0-20
IMG_20241126_104356.jpg,5.0,0.4080783570824779,4.591921642917522,0-20
IMG_20241126_104542.jpg,12.0,0.3407650042265427,11.659234995773458,0-20
IMG_20241126_104734.jpg,8.0,1.1257887030551863,6.8742112969448135,0-20
IMG_20241126_104858.jpg,3.0,0.3985497675401521,2.601450232459848,0-20
IMG_20241126_105026.jpg,20.0,0.1269849655838666,19.873015034416134,0-20
IMG_20241126_105240.jpg,3.0,0.0254724670933462,2.9745275329066536,0-20
IMG_20241126_105411.jpg,13.0,0.6951153242362034,12.304884675763796,0-20
IMG_20241126_105655.jpg,3.0,0.2192990731795676,2.7807009268204324,0-20
IMG_20241126_110015.jpg,16.0,1.0215402729138994,14.9784597270861,0-20
IMG_20241126_143706.jpg,0.0,0.5375162269049631,0.5375162269049631,0-20
IMG_20241126_144236.jpg,16.0,0.5867158253834078,15.413284174616592,0-20
IMG_20241126_144523.jpg,40.0,2.8473029374471683,37.15269706255283,20-40
IMG_20241126_150336.jpg,0.0,0.54218617920541,0.54218617920541,0-20
IMG_20241126_150443.jpg,0.0,1.02804990339331,1.02804990339331,0-20
IMG_20241126_150622.jpg,35.0,4.67952806122449,30.320471938775512,20-40
IMG_20241126_150922.jpg,4.0,2.3773359195749304,1.6226640804250696,0-20
IMG_20241126_151527.jpg,16.0,4.308384781427364,11.691615218572636,0-20
IMG_20241126_151736.jpg,0.0,0.492656382079459,0.492656382079459,0-20
IMG_20241126_151948.jpg,10.0,2.26615331783601,7.73384668216399,0-20
IMG_20241126_152130.jpg,25.0,2.851265321217244,22.148734678782755,20-40
IMG_20241126_152316.jpg,2.0,0.0521713863060016,1.9478286136939984,0-20
IMG_20241126_152445.jpg,6.0,1.4922620305518657,4.507737969448135,0-20
IMG_20241126_152548.jpg,1.0,1.1212130932254558,0.12121309322545581,0-20
IMG_20241126_152645.jpg,2.0,1.315652925371332,0.684347074628668,0-20
IMG_20241126_152822.jpg,40.0,2.5014434398019563,37.49855656019805,20-40
IMG_20241126_152911.jpg,3.0,2.07930805458278,0.9206919454172202,0-20
IMG_20241126_153148.jpg,0.0,1.3309364056273396,1.3309364056273396,0-20
IMG_20241126_153307.jpg,85.0,16.54762219236807,68.45237780763193,80-100
IMG_20241126_153435.jpg,16.0,1.6620313066054824,14.337968693394517,0-20
