model,bin,mae,n,mae_ci_lo,mae_ci_hi,mean_bias,mean_bias_ci_lo,mean_bias_ci_hi,mean_bias_ci_method,axis,prompt
Mistral-Small-3.2,60-80,22.04605263157895,38,17.516733387152186,26.782894736842106,-20.74342105263158,-26.013157894736842,-15.552631578947368,BCa,model,
Mistral-Small-3.2,80-100,26.791666666666668,30,23.15,31.341666666666665,-26.791666666666668,-31.47049979184523,-23.192785026731947,BCa,model,
Qwen-2.5,0-20,5.238987138263666,933,4.829248366503565,5.711231803028383,4.20131296891747,3.76357045266872,4.689310263357669,BCa,model,
Qwen-2.5,20-40,8.168981481481481,108,7.111111111111111,9.587070609292441,2.9050925925925926,1.1442967445694239,4.843515903495821,BCa,model,
Qwen-2.5,40-60,13.065217391304348,46,11.184782608695652,15.141304347826088,-8.402173913043478,-11.574297180776062,-4.767716337811773,BCa,model,
Qwen-2.5,60-80,20.151315789473685,38,16.157894736842106,24.657894736842106,-18.638157894736842,-23.456435708921997,-13.904510960033685,BCa,model,
Qwen-2.5,80-100,17.791666666666668,30,14.641666666666667,21.19654605330799,-17.791666666666668,-21.178004965032038,-14.691666666666666,BCa,model,
,0-20,5.938281529117543,933,5.709711021698513,6.189434122463324,4.466666666666666,4.197416484853707,4.754578561342491,BCa,prompt,Detailed
,20-40,11.685185185185185,108,10.835955640033186,12.644322545689233,-7.015432098765432,-8.494408176792598,-5.36574074074074,BCa,prompt,Detailed
,40-60,23.166666666666668,46,20.71953980261696,25.576086956521735,-20.630434782608692,-23.49073703840928,-17.27244851278471,BCa,prompt,Detailed
,60-80,29.666666666666664,38,25.214912280701757,34.456140350877185,-27.614035087719298,-33.03567759824571,-22.191967732918044,BCa,prompt,Detailed
,80-100,43.38333333333333,30,36.46666666666667,49.19999999999998,-43.07222222222222,-49.05601334913986,-36.03280042244596,BCa,prompt,Detailed
,0-20,7.328563772775992,933,6.936723712100761,7.769376578551964,6.696177206145051,6.269279441811785,7.1456099367658075,BCa,prompt,Grid-Overlay
,20-40,9.852623456790123,108,8.903918453028206,10.982934256311063,4.255401234567901,2.5467078898604596,6.028999865100634,BCa,prompt,Grid-Overlay
,40-60,12.931159420289855,46,11.67805088982077,14.278985507246373,-5.199275362318841,-8.155797101449275,-2.079710144927536,BCa,prompt,Grid-Overlay
,60-80,16.285087719298247,38,13.30701754385965,19.50116007687642,-13.399122807017543,-17.449213752798684,-9.07456140350877,BCa,prompt,Grid-Overlay
,80-100,20.883333333333333,30,18.119961980359438,24.0,-20.749999999999996,-24.055555555555554,-18.08888888888889,BCa,prompt,Grid-Overlay
,0-20,6.136977491961415,933,5.748156197608926,6.570223767466424,5.311754197927831,4.899306199482009,5.761911021838364,BCa,prompt,Point-Hint
,20-40,10.616172839506172,108,9.60493827160494,11.828301926422489,3.6408641975308647,1.7337962962962963,5.651943969797974,BCa,prompt,Point-Hint
,40-60,13.043478260869565,46,11.8768115942029,14.48570418022958,-5.188405797101449,-8.108695652173912,-2.1234670661294883,BCa,prompt,Point-Hint
,60-80,16.79605263157895,38,14.00891409456636,20.094399399845447,-12.396929824561404,-16.769645532307727,-8.087719298245613,BCa,prompt,Point-Hint
,80-100,21.3,30,18.172222222222224,25.326731592703357,-21.18333333333333,-25.169444444444448,-17.90994320908013,BCa,prompt,Point-Hint
,0-20,5.844283672740264,933,5.488472218832956,6.274443477254833,5.135351911396927,4.747854606406669,5.583114174748557,BCa,prompt,Short
,20-40,9.858024691358025,108,8.918209876543209,10.975961582917835,2.6697530864197527,0.8818446490961305,4.46521709990576,BCa,prompt,Short
,40-60,14.978260869565217,46,13.758492404003707,16.31627856689041,-6.4275362318840585,-9.635011495017109,-2.789557137776544,BCa,prompt,Short
,60-80,18.192982456140353,38,15.60526315789474,21.183114641033104,-11.192982456140351,-16.07894736842105,-6.508115895293245,BCa,prompt,Short
,80-100,18.183333333333334,30,15.050276234867802,22.295468841227205,-17.58333333333333,-21.830834543966432,-14.234568114824658,BCa,prompt,Short
