question_id,bin,bin_midpoint,n_images,mae,mae_ci_lo,mae_ci_hi,mae_ci_method,mean_signed_bias,mean_signed_bias_ci_lo,mean_signed_bias_ci_hi,mean_signed_bias_ci_method,median_signed_bias,median_signed_bias_ci_lo,median_signed_bias_ci_hi,median_signed_bias_ci_method,median_sape,median_sape_ci_lo,median_sape_ci_hi,median_sape_ci_method,mae_over_midpoint,mae_over_midpoint_ci_lo,mae_over_midpoint_ci_hi,mae_over_midpoint_ci_method
Q3,0-20,10.0,933,6.3120266166488035,5.985955709120045,6.694616164213328,BCa,5.402487495534119,5.051344735379699,5.785368242162616,BCa,3.75,3.5416666666666665,3.9583333333333335,percentile (BCa fallback),1.0651792944682879,1.0,1.122629001433349,BCa,0.6312026616648804,0.5983464771435434,0.6678565880731193,BCa
Q3,20-40,30.0,108,10.503001543209878,9.709180248866021,11.441855285537859,BCa,0.8876466049382714,-0.6714044353730905,2.4627452599590502,BCa,0.75,-0.9479166666666667,2.5625,BCa,0.3770992234355196,0.3484654282526623,0.3915254256824024,BCa,0.35010005144032924,0.32368990238707435,0.3811724781562139,BCa
Q3,40-60,50.0,46,16.029891304347824,14.823632621911793,17.355072463768117,BCa,-9.361413043478262,-11.924537236261354,-6.5068218185298194,BCa,-11.604166666666666,-12.833333333333332,-8.541666666666668,BCa,0.39045186864895787,0.3487193196067552,0.4205637847170606,BCa,0.3205978260869565,0.29599637681159424,0.34679061878218737,BCa
Q3,60-80,70.0,38,20.23519736842105,17.405929276927367,23.39000952760474,BCa,-16.150767543859647,-20.44689321952549,-11.808299536486707,BCa,-16.458333333333332,-24.043574082742246,-10.0625,BCa,0.3535314414872217,0.21401036203304927,0.4318835450211812,BCa,0.28907424812030075,0.24862938596491221,0.3332973410182243,BCa
Q3,80-100,90.0,30,25.9375,22.50307722112633,29.69211108933785,BCa,-25.64722222222222,-29.385781008253026,-21.905640772282116,BCa,-25.625,-30.708333333333336,-21.666666666666668,BCa,0.3550538346360522,0.3144846262106324,0.4329067311232604,BCa,0.2881944444444445,0.2487627317303846,0.32865462210507257,BCa
