question_id,model,bin,n,mae_mllm,mae_mllm_ci_lo,mae_mllm_ci_hi,mae_baseline,mae_baseline_ci_lo,mae_baseline_ci_hi,delta_mae_bin,bias_mllm_bin,bias_mllm_bin_ci_lo,bias_mllm_bin_ci_hi,bias_baseline_bin,bias_baseline_bin_ci_lo,bias_baseline_bin_ci_hi,share_of_delta_balanced_mae
Q9,Gemma-3-12B,0-20,933,8.231350482315113,7.7802988110535996,8.704085051231358,3.4105974049992147,3.135648383914167,3.7159985091727994,4.820753077315898,7.823499464094319,7.34790696587943,8.325333053943313,-2.273002191301567,-2.6100465052812494,-1.9576147228021876,-0.036903265807252325
Q9,Gemma-3-12B,20-40,108,11.962962962962964,10.625,13.514999392819062,25.791040040482002,24.449399065087754,27.122985214907633,-13.828077077519039,3.6527777777777777,1.3596613650522755,6.106481481481482,-25.791040040482002,-27.160684543360645,-24.467897370315463,0.10585508027699768
Q9,Gemma-3-12B,40-60,46,14.467391304347826,12.73913043478261,16.391304347826086,45.71931338862404,42.42644024867813,48.38201754088383,-31.25192208427621,-4.815217391304348,-8.673913043478262,-0.6304347826086957,-45.71931338862404,-48.420526777734615,-42.48534853823105,0.2392360631558665
Q9,Gemma-3-12B,60-80,38,17.907894736842106,14.973684210526315,21.289473684210527,57.88995357953209,53.038580319217324,62.246872170686736,-39.98205884268998,-12.486842105263158,-17.289473684210527,-7.68670023083144,-57.88995357953209,-62.30943505213438,-53.09754094866147,0.3060659862326954
Q9,Gemma-3-12B,80-100,30,27.816666666666666,23.394729040546594,33.23619065524255,78.20751506963732,71.0035485948259,83.2522698623324,-50.39084840297066,-27.45,-32.97048300460105,-22.608333333333334,-78.20751506963732,-83.1766036898002,-70.98326110452459,0.38574613614169273
Q9,Gemma-3-27B,0-20,933,9.236682743837086,8.855939017017576,9.660235798499464,3.4105974049992147,3.135648383914167,3.7159985091727994,5.8260853388378715,9.006377277599144,8.613487481325329,9.433105131237694,-2.273002191301567,-2.6100465052812494,-1.9576147228021876,-0.044787879490821025
Q9,Gemma-3-27B,20-40,108,8.421296296296296,7.518518518518518,9.592592592592593,25.791040040482002,24.449399065087754,27.122985214907633,-17.369743744185705,1.9212962962962963,0.3101851851851852,3.6808287159141466,-25.791040040482002,-27.160684543360645,-24.467897370315463,0.13352945320162612
Q9,Gemma-3-27B,40-60,46,14.978260869565217,13.244565217391305,16.966257197445387,45.71931338862404,42.42644024867813,48.38201754088383,-30.74105251905882,-9.48913043478261,-12.847826086956522,-5.574348009216168,-45.71931338862404,-48.420526777734615,-42.48534853823105,0.23632104158626036
Q9,Gemma-3-27B,60-80,38,18.967105263157894,14.77381169837021,23.532894736842106,57.88995357953209,53.038580319217324,62.246872170686736,-38.9228483163742,-16.99342105263158,-22.263157894736842,-12.087933011740185,-57.88995357953209,-62.30943505213438,-53.09754094866147,0.2992183839485269
Q9,Gemma-3-27B,80-100,30,29.333333333333332,24.016666666666666,34.607977667432216,78.20751506963732,71.0035485948259,83.2522698623324,-48.874181736303996,-29.333333333333332,-34.55,-24.058333333333334,-78.20751506963732,-83.1766036898002,-70.98326110452459,0.37571900075440756
Q9,Llama-4-Maverick,0-20,933,4.427947481243301,4.045345641797204,4.884372243996467,3.4105974049992147,3.135648383914167,3.7159985091727994,1.0173500762440861,2.959941050375134,2.557890489627832,3.4180332261521973,-2.273002191301567,-2.6100465052812494,-1.9576147228021876,-0.007797578196056139
Q9,Llama-4-Maverick,20-40,108,11.703703703703704,10.516203703703704,13.158233749212355,25.791040040482002,24.449399065087754,27.122985214907633,-14.087336336778298,-0.6388888888888888,-2.4238647392329176,1.4541066985287097,-25.791040040482002,-27.160684543360645,-24.467897370315463,0.10797375379939217
Q9,Llama-4-Maverick,40-60,46,17.86413043478261,15.668478260869565,20.08695652173913,45.71931338862404,42.42644024867813,48.38201754088383,-27.855182953841428,-10.929347826086957,-14.173913043478262,-7.643980359723726,-45.71931338862404,-48.420526777734615,-42.48534853823105,0.2134987476974607
Q9,Llama-4-Maverick,60-80,38,19.80263157894737,17.00657894736842,22.894736842105264,57.88995357953209,53.038580319217324,62.246872170686736,-38.08732200058472,-14.907894736842104,-19.064580281498397,-10.624139898772647,-57.88995357953209,-62.30943505213438,-53.09754094866147,0.29192396846754065
Q9,Llama-4-Maverick,80-100,30,26.75,22.858333333333334,30.45,78.20751506963732,71.0035485948259,83.2522698623324,-51.457515069637324,-26.616666666666667,-30.308333333333334,-22.675,-78.20751506963732,-83.1766036898002,-70.98326110452459,0.39440110823166274
Q9,Llama-4-Scout,0-20,933,4.736789924973205,4.363952392977424,5.15799970087421,3.4105974049992147,3.135648383914167,3.7159985091727994,1.32619251997399,3.402411575562701,3.0129541416949137,3.8257660978799013,-2.273002191301567,-2.6100465052812494,-1.9576147228021876,-0.01096682551642695
Q9,Llama-4-Scout,20-40,108,15.06199074074074,13.629287613560463,16.811069394395513,25.791040040482002,24.449399065087754,27.122985214907633,-10.729049299741263,-0.5005092592592593,-2.807264726193525,1.851871885073894,-25.791040040482002,-27.160684543360645,-24.467897370315463,0.08872287383261132
Q9,Llama-4-Scout,40-60,46,20.61413043478261,18.124989232378667,23.217391304347824,45.71931338862404,42.42644024867813,48.38201754088383,-25.105182953841428,-11.494565217391305,-15.303735090240904,-7.961956521739131,-45.71931338862404,-48.420526777734615,-42.48534853823105,0.20760497202785827
Q9,Llama-4-Scout,60-80,38,22.536184210526315,19.480263157894736,25.942971377670993,57.88995357953209,53.038580319217324,62.246872170686736,-35.353769369005775,-13.134868421052632,-18.684998091413533,-7.515509995857428,-57.88995357953209,-62.30943505213438,-53.09754094866147,0.292354702788921
Q9,Llama-4-Scout,80-100,30,27.141666666666666,22.723783224908217,33.07133029028857,78.20751506963732,71.0035485948259,83.2522698623324,-51.06584840297066,-25.9,-32.21308225838952,-21.02958837844594,-78.20751506963732,-83.1766036898002,-70.98326110452459,0.42228427686703635
Q9,Mistral-Small-3.2,0-20,933,6.00040192926045,5.6477224008574485,6.4049571275455515,3.4105974049992147,3.135648383914167,3.7159985091727994,2.5898045242612353,5.021382636655948,4.611241261653172,5.468536294911378,-2.273002191301567,-2.6100465052812494,-1.9576147228021876,-0.01942970187278945
Q9,Mistral-Small-3.2,20-40,108,7.699074074074074,6.789351851851852,8.882656260490212,25.791040040482002,24.449399065087754,27.122985214907633,-18.091965966407926,-2.013888888888889,-3.7152777777777777,-0.3125,-25.791040040482002,-27.160684543360645,-24.467897370315463,0.13573283300994837
Q9,Mistral-Small-3.2,40-60,46,15.190217391304348,13.141304347826088,17.380434782608695,45.71931338862404,42.42644024867813,48.38201754088383,-30.52909599731969,-11.03804347826087,-14.37562567568907,-7.309782608695652,-45.71931338862404,-48.420526777734615,-42.48534853823105,0.22904092881021534
